NumXCells: 80
NumYCells: 60
NumGhostCells: 4
Time: 1.34375
CFL: 0.5
-1.0875 -1.11667 0.0248868
-1.0875 -1.08333 0.0319244
-1.0875 -1.05 0.0399694
-1.0875 -1.01667 0.0488949
-1.0875 -0.983333 0.0585039
-1.0875 -0.95 0.0685357
-1.0875 -0.916667 0.0786777
-1.0875 -0.883333 0.0885817
-1.0875 -0.85 0.0978835
-1.0875 -0.816667 0.106223
-1.0875 -0.783333 0.113266
-1.0875 -0.75 0.118723
-1.0875 -0.716667 0.122367
-1.0875 -0.683333 0.124045
-1.0875 -0.65 0.123694
-1.0875 -0.616667 0.121339
-1.0875 -0.583333 0.117095
-1.0875 -0.55 0.11116
-1.0875 -0.516667 0.103802
-1.0875 -0.483333 0.0953399
-1.0875 -0.45 0.0861229
-1.0875 -0.416667 0.0765071
-1.0875 -0.383333 0.0668333
-1.0875 -0.35 0.0574073
-1.0875 -0.316667 0.0484851
-1.0875 -0.283333 0.0402631
-1.0875 -0.25 0.0328751
-1.0875 -0.216667 0.0263936
-1.0875 -0.183333 0.0208362
-1.0875 -0.15 0.0161755
-1.0875 -0.116667 0.0123495
-1.0875 -0.0833333 0.00927331
-1.0875 -0.05 0.00684956
-1.0875 -0.0166667 0.00497721
-1.0875 0.0166667 0.00355846
-1.0875 0.05 0.00250352
-1.0875 0.0833333 0.00173348
-1.0875 0.116667 0.00118149
-1.0875 0.15 0.000792793
-1.0875 0.183333 0.000523828
-1.0875 0.216667 0.000340922
-1.0875 0.25 0.000218736
-1.0875 0.283333 0.000138761
-1.0875 0.316667 8.80088e-05
-1.0875 0.35 5.80351e-05
-1.0875 0.383333 4.44107e-05
-1.0875 0.416667 4.67547e-05
-1.0875 0.45 6.94411e-05
-1.0875 0.483333 0.000123064
-1.0875 0.516667 0.000226682
-1.0875 0.55 0.000410727
-1.0875 0.583333 0.000720287
-1.0875 0.616667 0.00121822
-1.0875 0.65 0.00198734
-1.0875 0.683333 0.00313079
-1.0875 0.716667 0.00476971
-1.0875 0.75 0.00703747
-1.0875 0.783333 0.0100703
-1.0875 0.816667 0.0139948
-1.0875 0.85 0.0189129
-1.0875 0.883333 0.0248868
-1.0875 0.916667 0.0319244
-1.0875 0.95 0.0399694
-1.0875 0.983333 0.0488949
-1.0875 1.01667 0.0585039
-1.0875 1.05 0.0685357
-1.0875 1.08333 0.0786777
-1.0875 1.11667 0.0885817
-1.0625 -1.11667 0.0305317
-1.0625 -1.08333 0.0391652
-1.0625 -1.05 0.0490344
-1.0625 -1.01667 0.0599837
-1.0625 -0.983333 0.0717714
-1.0625 -0.95 0.0840777
-1.0625 -0.916667 0.0965192
-1.0625 -0.883333 0.108669
-1.0625 -0.85 0.120079
-1.0625 -0.816667 0.13031
-1.0625 -0.783333 0.138949
-1.0625 -0.75 0.145643
-1.0625 -0.716667 0.150112
-1.0625 -0.683333 0.152172
-1.0625 -0.65 0.151741
-1.0625 -0.616667 0.148851
-1.0625 -0.583333 0.143645
-1.0625 -0.55 0.136364
-1.0625 -0.516667 0.127338
-1.0625 -0.483333 0.116957
-1.0625 -0.45 0.10565
-1.0625 -0.416667 0.0938542
-1.0625 -0.383333 0.0819871
-1.0625 -0.35 0.070424
-1.0625 -0.316667 0.0594788
-1.0625 -0.283333 0.0493927
-1.0625 -0.25 0.0403296
-1.0625 -0.216667 0.0323784
-1.0625 -0.183333 0.025561
-1.0625 -0.15 0.0198434
-1.0625 -0.116667 0.0151499
-1.0625 -0.0833333 0.0113762
-1.0625 -0.05 0.00840284
-1.0625 -0.0166667 0.00610591
-1.0625 0.0166667 0.00436543
-1.0625 0.05 0.00307127
-1.0625 0.0833333 0.0021266
-1.0625 0.116667 0.00144943
-1.0625 0.15 0.000972583
-1.0625 0.183333 0.000642622
-1.0625 0.216667 0.000418236
-1.0625 0.25 0.000268341
-1.0625 0.283333 0.000170229
-1.0625 0.316667 0.000107968
-1.0625 0.35 7.11989e-05
-1.0625 0.383333 5.44883e-05
-1.0625 0.416667 5.73707e-05
-1.0625 0.45 8.52138e-05
-1.0625 0.483333 0.000151017
-1.0625 0.516667 0.000278164
-1.0625 0.55 0.000503993
-1.0625 0.583333 0.00088382
-1.0625 0.616667 0.00149476
-1.0625 0.65 0.00243841
-1.0625 0.683333 0.00384131
-1.0625 0.716667 0.00585205
-1.0625 0.75 0.00863424
-1.0625 0.783333 0.012355
-1.0625 0.816667 0.0171696
-1.0625 0.85 0.0232031
-1.0625 0.883333 0.0305317
-1.0625 0.916667 0.0391652
-1.0625 0.95 0.0490344
-1.0625 0.983333 0.0599837
-1.0625 1.01667 0.0717714
-1.0625 1.05 0.0840777
-1.0625 1.08333 0.0965192
-1.0625 1.11667 0.108669
-1.0375 -1.11667 0.0368206
-1.0375 -1.08333 0.047232
-1.0375 -1.05 0.0591335
-1.0375 -1.01667 0.0723374
-1.0375 -0.983333 0.0865522
-1.0375 -0.95 0.101392
-1.0375 -0.916667 0.116395
-1.0375 -0.883333 0.131046
-1.0375 -0.85 0.144806
-1.0375 -0.816667 0.157143
-1.0375 -0.783333 0.167561
-1.0375 -0.75 0.175633
-1.0375 -0.716667 0.181023
-1.0375 -0.683333 0.183505
-1.0375 -0.65 0.182986
-1.0375 -0.616667 0.179501
-1.0375 -0.583333 0.173222
-1.0375 -0.55 0.164443
-1.0375 -0.516667 0.153558
-1.0375 -0.483333 0.14104
-1.0375 -0.45 0.127405
-1.0375 -0.416667 0.11318
-1.0375 -0.383333 0.0988694
-1.0375 -0.35 0.0849254
-1.0375 -0.316667 0.0717266
-1.0375 -0.283333 0.0595637
-1.0375 -0.25 0.0486344
-1.0375 -0.216667 0.039046
-1.0375 -0.183333 0.0308248
-1.0375 -0.15 0.0239299
-1.0375 -0.116667 0.0182698
-1.0375 -0.0833333 0.013719
-1.0375 -0.05 0.0101333
-1.0375 -0.0166667 0.00736339
-1.0375 0.0166667 0.00526448
-1.0375 0.05 0.00370379
-1.0375 0.0833333 0.00256457
-1.0375 0.116667 0.00174794
-1.0375 0.15 0.00117289
-1.0375 0.183333 0.000774969
-1.0375 0.216667 0.000504371
-1.0375 0.25 0.000323604
-1.0375 0.283333 0.000205287
-1.0375 0.316667 0.000130204
-1.0375 0.35 8.58646e-05
-1.0375 0.383333 6.57165e-05
-1.0375 0.416667 6.91998e-05
-1.0375 0.45 0.00010279
-1.0375 0.483333 0.000182166
-1.0375 0.516667 0.000335531
-1.0375 0.55 0.000607918
-1.0375 0.583333 0.00106604
-1.0375 0.616667 0.00180289
-1.0375 0.65 0.00294099
-1.0375 0.683333 0.00463294
-1.0375 0.716667 0.00705793
-1.0375 0.75 0.0104132
-1.0375 0.783333 0.0149004
-1.0375 0.816667 0.0207067
-1.0375 0.85 0.0279828
-1.0375 0.883333 0.0368206
-1.0375 0.916667 0.047232
-1.0375 0.95 0.0591335
-1.0375 0.983333 0.0723374
-1.0375 1.01667 0.0865522
-1.0375 1.05 0.101392
-1.0375 1.08333 0.116395
-1.0375 1.11667 0.131046
-1.0125 -1.11667 0.0436818
-1.0125 -1.08333 0.0560329
-1.0125 -1.05 0.0701515
-1.0125 -1.01667 0.085815
-1.0125 -0.983333 0.102678
-1.0125 -0.95 0.120282
-1.0125 -0.916667 0.13808
-1.0125 -0.883333 0.15546
-1.0125 -0.85 0.171783
-1.0125 -0.816667 0.186417
-1.0125 -0.783333 0.198776
-1.0125 -0.75 0.208352
-1.0125 -0.716667 0.214745
-1.0125 -0.683333 0.21769
-1.0125 -0.65 0.217073
-1.0125 -0.616667 0.212939
-1.0125 -0.583333 0.205491
-1.0125 -0.55 0.195076
-1.0125 -0.516667 0.182164
-1.0125 -0.483333 0.167314
-1.0125 -0.45 0.151139
-1.0125 -0.416667 0.134264
-1.0125 -0.383333 0.117288
-1.0125 -0.35 0.100747
-1.0125 -0.316667 0.0850891
-1.0125 -0.283333 0.0706605
-1.0125 -0.25 0.0576952
-1.0125 -0.216667 0.0463205
-1.0125 -0.183333 0.0365677
-1.0125 -0.15 0.0283883
-1.0125 -0.116667 0.0216737
-1.0125 -0.0833333 0.0162751
-1.0125 -0.05 0.0120214
-1.0125 -0.0166667 0.00873535
-1.0125 0.0166667 0.00624537
-1.0125 0.05 0.00439389
-1.0125 0.0833333 0.00304241
-1.0125 0.116667 0.00207363
-1.0125 0.15 0.00139142
-1.0125 0.183333 0.000919363
-1.0125 0.216667 0.000598345
-1.0125 0.25 0.000383897
-1.0125 0.283333 0.000243535
-1.0125 0.316667 0.000154464
-1.0125 0.35 0.000101865
-1.0125 0.383333 7.79673e-05
-1.0125 0.416667 8.21073e-05
-1.0125 0.45 0.000121969
-1.0125 0.483333 0.000216157
-1.0125 0.516667 0.000398131
-1.0125 0.55 0.000721317
-1.0125 0.583333 0.00126486
-1.0125 0.616667 0.00213909
-1.0125 0.65 0.00348936
-1.0125 0.683333 0.00549668
-1.0125 0.716667 0.00837363
-1.0125 0.75 0.0123542
-1.0125 0.783333 0.0176776
-1.0125 0.816667 0.0245657
-1.0125 0.85 0.0331974
-1.0125 0.883333 0.0436818
-1.0125 0.916667 0.0560329
-1.0125 0.95 0.0701515
-1.0125 0.983333 0.085815
-1.0125 1.01667 0.102678
-1.0125 1.05 0.120282
-1.0125 1.08333 0.13808
-1.0125 1.11667 0.15546
-0.9875 -1.11667 0.0510141
-0.9875 -1.08333 0.0654379
-0.9875 -1.05 0.0819259
-0.9875 -1.01667 0.100218
-0.9875 -0.983333 0.112101
-0.9875 -0.95 0.131762
-0.9875 -0.916667 0.151754
-0.9875 -0.883333 0.171403
-0.9875 -0.85 0.189996
-0.9875 -0.816667 0.206822
-0.9875 -0.783333 0.221209
-0.9875 -0.75 0.23257
-0.9875 -0.716667 0.240434
-0.9875 -0.683333 0.244473
-0.9875 -0.65 0.244528
-0.9875 -0.616667 0.240616
-0.9875 -0.583333 0.232932
-0.9875 -0.55 0.221836
-0.9875 -0.516667 0.20783
-0.9875 -0.483333 0.191526
-0.9875 -0.45 0.173602
-0.9875 -0.416667 0.154758
-0.9875 -0.383333 0.135673
-0.9875 -0.35 0.116963
-0.9875 -0.316667 0.0991517
-0.9875 -0.283333 0.0826496
-0.9875 -0.25 0.0677438
-0.9875 -0.216667 0.0546003
-0.9875 -0.183333 0.0432748
-0.9875 -0.15 0.03373
-0.9875 -0.116667 0.0258565
-0.9875 -0.0833333 0.0194957
-0.9875 -0.05 0.0144599
-0.9875 -0.0166667 0.0105513
-0.9875 0.0166667 0.0075755
-0.9875 0.05 0.00535234
-0.9875 0.0833333 0.00372192
-0.9875 0.116667 0.00254768
-0.9875 0.15 0.00171691
-0.9875 0.183333 0.00113935
-0.9875 0.216667 0.000744725
-0.9875 0.25 0.000479804
-0.9875 0.283333 0.000305422
-0.9875 0.316667 0.000193814
-0.9875 0.35 0.000126572
-0.9875 0.383333 9.34373e-05
-0.9875 0.416667 9.21627e-05
-0.9875 0.45 0.000129664
-0.9875 0.483333 0.000224638
-0.9875 0.516667 0.000411712
-0.9875 0.55 0.000746941
-0.9875 0.583333 0.00131415
-0.9875 0.616667 0.0022311
-0.9875 0.65 0.0036542
-0.9875 0.683333 0.00577977
-0.9875 0.716667 0.00884049
-0.9875 0.75 0.0130952
-0.9875 0.783333 0.0188117
-0.9875 0.816667 0.0262433
-0.9875 0.85 0.0355999
-0.9875 0.883333 0.0470186
-0.9875 0.916667 0.0605347
-0.9875 0.95 0.0760601
-0.9875 0.983333 0.09337
