NumXCells: 80
NumYCells: 60
NumGhostCells: 4
Time: 0.96875
CFL: 0.5
-1.0875 -1.11667 0.678379
-1.0875 -1.08333 0.700445
-1.0875 -1.05 0.709371
-1.0875 -1.01667 0.70469
-1.0875 -0.983333 0.686576
-1.0875 -0.95 0.655869
-1.0875 -0.916667 0.61407
-1.0875 -0.883333 0.563252
-1.0875 -0.85 0.505924
-1.0875 -0.816667 0.444828
-1.0875 -0.783333 0.382714
-1.0875 -0.75 0.322117
-1.0875 -0.716667 0.265168
-1.0875 -0.683333 0.213473
-1.0875 -0.65 0.168057
-1.0875 -0.616667 0.129379
-1.0875 -0.583333 0.0974075
-1.0875 -0.55 0.0717288
-1.0875 -0.516667 0.0516696
-1.0875 -0.483333 0.0364165
-1.0875 -0.45 0.0251175
-1.0875 -0.416667 0.0169581
-1.0875 -0.383333 0.0112101
-1.0875 -0.35 0.00725751
-1.0875 -0.316667 0.00460295
-1.0875 -0.283333 0.00286074
-1.0875 -0.25 0.00174276
-1.0875 -0.216667 0.00104097
-1.0875 -0.183333 0.000609835
-1.0875 -0.15 0.000350493
-1.0875 -0.116667 0.000197682
-1.0875 -0.0833333 0.000109452
-1.0875 -0.05 5.95456e-05
-1.0875 -0.0166667 3.20186e-05
-1.0875 0.0166667 1.77525e-05
-1.0875 0.05 1.27029e-05
-1.0875 0.0833333 1.81722e-05
-1.0875 0.116667 4.40262e-05
-1.0875 0.15 0.000116543
-1.0875 0.183333 0.000293193
-1.0875 0.216667 0.000686594
-1.0875 0.25 0.00149854
-1.0875 0.283333 0.00306192
-1.0875 0.316667 0.00588366
-1.0875 0.35 0.0106768
-1.0875 0.383333 0.0183661
-1.0875 0.416667 0.030052
-1.0875 0.45 0.0469235
-1.0875 0.483333 0.070121
-1.0875 0.516667 0.100565
-1.0875 0.55 0.13878
-1.0875 0.583333 0.184739
-1.0875 0.616667 0.237779
-1.0875 0.65 0.296587
-1.0875 0.683333 0.359273
-1.0875 0.716667 0.423512
-1.0875 0.75 0.486718
-1.0875 0.783333 0.546236
-1.0875 0.816667 0.59951
-1.0875 0.85 0.644217
-1.0875 0.883333 0.678379
-1.0875 0.916667 0.700445
-1.0875 0.95 0.709371
-1.0875 0.983333 0.70469
-1.0875 1.01667 0.686576
-1.0875 1.05 0.655869
