NumXCells: 80
NumYCells: 60
NumGhostCells: 4
Time: 1.21875
CFL: 0.3
-1.0875 -1.11667 0.0202593
-1.0875 -1.08333 0.0350195
-1.0875 -1.05 0.0572441
-1.0875 -1.01667 0.087939
-1.0875 -0.983333 0.124632
-1.0875 -0.95 0.156856
-1.0875 -0.916667 0.17498
-1.0875 -0.883333 0.182423
-1.0875 -0.85 0.184799
-1.0875 -0.816667 0.185207
-1.0875 -0.783333 0.185066
-1.0875 -0.75 0.184249
-1.0875 -0.716667 0.181961
-1.0875 -0.683333 0.17709
-1.0875 -0.65 0.168159
-1.0875 -0.616667 0.153388
-1.0875 -0.583333 0.130994
-1.0875 -0.55 0.100111
-1.0875 -0.516667 0.0635826
-1.0875 -0.483333 0.0320381
-1.0875 -0.45 0.0140502
-1.0875 -0.416667 0.00588788
-1.0875 -0.383333 0.00239758
-1.0875 -0.35 0.000950449
-1.0875 -0.316667 0.000367204
-1.0875 -0.283333 0.000138403
-1.0875 -0.25 5.09388e-05
-1.0875 -0.216667 1.83224e-05
-1.0875 -0.183333 6.44596e-06
-1.0875 -0.15 2.2196e-06
-1.0875 -0.116667 7.4857e-07
-1.0875 -0.0833333 2.47415e-07
-1.0875 -0.05 8.01856e-08
-1.0875 -0.0166667 2.54959e-08
-1.0875 0.0166667 7.95914e-09
-1.0875 0.05 2.44199e-09
-1.0875 0.0833333 7.34446e-10
-1.0875 0.116667 2.11732e-10
-1.0875 0.15 5.78229e-11
-1.0875 0.183333 2.36836e-11
-1.0875 0.216667 2.50419e-11
-1.0875 0.25 6.11257e-11
-1.0875 0.283333 2.49326e-10
-1.0875 0.316667 1.0571e-09
-1.0875 0.35 4.25575e-09
-1.0875 0.383333 1.61747e-08
-1.0875 0.416667 5.81599e-08
-1.0875 0.45 1.98266e-07
-1.0875 0.483333 6.41886e-07
-1.0875 0.516667 1.9764e-06
-1.0875 0.55 5.79441e-06
-1.0875 0.583333 1.61912e-05
-1.0875 0.616667 4.31517e-05
-1.0875 0.65 0.000109748
-1.0875 0.683333 0.000266445
-1.0875 0.716667 0.00061754
-1.0875 0.75 0.00136615
-1.0875 0.783333 0.0028835
-1.0875 0.816667 0.00580239
-1.0875 0.85 0.0111192
-1.0875 0.883333 0.0202593
-1.0875 0.916667 0.0350195
-1.0875 0.95 0.0572441
-1.0875 0.983333 0.087939
-1.0875 1.01667 0.124632
-1.0875 1.05 0.156856
-1.0875 1.08333 0.17498
-1.0875 1.11667 0.182423
-1.0625 -1.11667 0.0317742
-1.0625 -1.08333 0.0549168
-1.0625 -1.05 0.0897579
-1.0625 -1.01667 0.13787
-1.0625 -0.983333 0.195377
-1.0625 -0.95 0.245879
-1.0625 -0.916667 0.274285
-1.0625 -0.883333 0.285952
-1.0625 -0.85 0.289675
-1.0625 -0.816667 0.290314
-1.0625 -0.783333 0.290093
-1.0625 -0.75 0.28881
-1.0625 -0.716667 0.285221
-1.0625 -0.683333 0.27758
-1.0625 -0.65 0.263576
-1.0625 -0.616667 0.240417
-1.0625 -0.583333 0.20531
-1.0625 -0.55 0.156902
-1.0625 -0.516667 0.0996534
-1.0625 -0.483333 0.0502168
-1.0625 -0.45 0.0220236
-1.0625 -0.416667 0.00922959
-1.0625 -0.383333 0.00375846
-1.0625 -0.35 0.00148997
-1.0625 -0.316667 0.000575656
-1.0625 -0.283333 0.000216975
-1.0625 -0.25 7.98577e-05
-1.0625 -0.216667 2.87247e-05
-1.0625 -0.183333 1.01056e-05
-1.0625 -0.15 3.47979e-06
-1.0625 -0.116667 1.17358e-06
-1.0625 -0.0833333 3.87887e-07
-1.0625 -0.05 1.25711e-07
-1.0625 -0.0166667 3.99706e-08
-1.0625 0.0166667 1.24773e-08
-1.0625 0.05 3.8283e-09
-1.0625 0.0833333 1.15148e-09
-1.0625 0.116667 3.31695e-10
-1.0625 0.15 8.99626e-11
-1.0625 0.183333 3.61776e-11
-1.0625 0.216667 3.83016e-11
-1.0625 0.25 9.50651e-11
-1.0625 0.283333 3.91071e-10
-1.0625 0.316667 1.66105e-09
-1.0625 0.35 6.68864e-09
-1.0625 0.383333 2.54193e-08
-1.0625 0.416667 9.1388e-08
-1.0625 0.45 3.11494e-07
-1.0625 0.483333 1.00832e-06
-1.0625 0.516667 3.1042e-06
-1.0625 0.55 9.09964e-06
-1.0625 0.583333 2.54233e-05
-1.0625 0.616667 6.77475e-05
-1.0625 0.65 0.00017228
-1.0625 0.683333 0.000418204
-1.0625 0.716667 0.000969144
-1.0625 0.75 0.00214371
-1.0625 0.783333 0.00452411
-1.0625 0.816667 0.00910259
-1.0625 0.85 0.0174412
-1.0625 0.883333 0.0317742
-1.0625 0.916667 0.0549168
-1.0625 0.95 0.0897579
-1.0625 0.983333 0.13787
-1.0625 1.01667 0.195377
-1.0625 1.05 0.245879
-1.0625 1.08333 0.274285
-1.0625 1.11667 0.285952
-1.0375 -1.11667 0.0473721
-1.0375 -1.08333 0.0818657
-1.0375 -1.05 0.133788
-1.0375 -1.01667 0.205478
-1.0375 -0.983333 0.291159
-1.0375 -0.95 0.366407
-1.0375 -0.916667 0.408738
-1.0375 -0.883333 0.426125
-1.0375 -0.85 0.431673
-1.0375 -0.816667 0.432625
-1.0375 -0.783333 0.432295
-1.0375 -0.75 0.430381
-1.0375 -0.716667 0.42503
-1.0375 -0.683333 0.413638
-1.0375 -0.65 0.392762
-1.0375 -0.616667 0.358243
-1.0375 -0.583333 0.305924
-1.0375 -0.55 0.233793
-1.0375 -0.516667 0.148499
-1.0375 -0.483333 0.0748383
-1.0375 -0.45 0.0328239
-1.0375 -0.416667 0.0137562
-1.0375 -0.383333 0.00560193
-1.0375 -0.35 0.00222081
-1.0375 -0.316667 0.000858034
-1.0375 -0.283333 0.000323411
-1.0375 -0.25 0.000119032
-1.0375 -0.216667 4.28158e-05
-1.0375 -0.183333 1.5063e-05
-1.0375 -0.15 5.18681e-06
-1.0375 -0.116667 1.74927e-06
-1.0375 -0.0833333 5.78159e-07
-1.0375 -0.05 1.87375e-07
-1.0375 -0.0166667 5.95757e-08
-1.0375 0.0166667 1.85966e-08
-1.0375 0.05 5.70575e-09
-1.0375 0.0833333 1.71614e-09
-1.0375 0.116667 4.94012e-10
-1.0375 0.15 1.33377e-10
