NumXCells: 80
NumYCells: 60
NumGhostCells: 4
Time: 0.75
CFL: 0.5
-1.0875 -1.11667 0.503599
-1.0875 -1.08333 0.450968
-1.0875 -1.05 0.393557
-1.0875 -1.01667 0.334449
-1.0875 -0.983333 0.276597
-1.0875 -0.95 0.222526
-1.0875 -0.916667 0.174108
-1.0875 -0.883333 0.132471
-1.0875 -0.85 0.0980178
-1.0875 -0.816667 0.0705387
-1.0875 -0.783333 0.0493843
-1.0875 -0.75 0.0336446
-1.0875 -0.716667 0.022313
-1.0875 -0.683333 0.0144106
-1.0875 -0.65 0.00906705
-1.0875 -0.616667 0.00556026
-1.0875 -0.583333 0.00332476
-1.0875 -0.55 0.00193934
-1.0875 -0.516667 0.00110401
-1.0875 -0.483333 0.000613627
-1.0875 -0.45 0.000333153
-1.0875 -0.416667 0.000176757
-1.0875 -0.383333 9.1683e-05
-1.0875 -0.35 4.65114e-05
-1.0875 -0.316667 2.30869e-05
-1.0875 -0.283333 1.1217e-05
-1.0875 -0.25 5.33657e-06
-1.0875 -0.216667 2.48719e-06
-1.0875 -0.183333 1.13918e-06
-1.0875 -0.15 5.48149e-07
-1.0875 -0.116667 5.32963e-07
-1.0875 -0.0833333 1.91294e-06
-1.0875 -0.05 8.58484e-06
-1.0875 -0.0166667 3.35845e-05
-1.0875 0.0166667 0.00011335
-1.0875 0.05 0.000335869
-1.0875 0.0833333 0.000887577
-1.0875 0.116667 0.00211862
-1.0875 0.15 0.00461567
-1.0875 0.183333 0.00925854
-1.0875 0.216667 0.017227
-1.0875 0.25 0.0299263
-1.0875 0.283333 0.0488155
-1.0875 0.316667 0.0751559
-1.0875 0.35 0.109726
-1.0875 0.383333 0.152576
-1.0875 0.416667 0.20289
-1.0875 0.45 0.259003
-1.0875 0.483333 0.31857
-1.0875 0.516667 0.378842
-1.0875 0.55 0.436977
-1.0875 0.583333 0.490308
-1.0875 0.616667 0.536509
-1.0875 0.65 0.573659
-1.0875 0.683333 0.600229
-1.0875 0.716667 0.615054
-1.0875 0.75 0.617343
-1.0875 0.783333 0.606754
-1.0875 0.816667 0.583521
-1.0875 0.85 0.548575
-1.0875 0.883333 0.503599
-1.0875 0.916667 0.450968
-1.0875 0.95 0.393557
-1.0875 0.983333 0.334449
-1.0875 1.01667 0.276597
-1.0875 1.05 0.222526
-1.0875 1.08333 0.174108
-1.0875 1.11667 0.132471
-1.0625 -1.11667 0.456947
-1.0625 -1.08333 0.409193
-1.0625 -1.05 0.357101
-1.0625 -1.01667 0.303468
-1.0625 -0.983333 0.250976
-1.0625 -0.95 0.201914
-1.0625 -0.916667 0.157981
-1.0625 -0.883333 0.120201
-1.0625 -0.85 0.0889381
-1.0625 -0.816667 0.0640042
-1.0625 -0.783333 0.0448091
-1.0625 -0.75 0.0305274
-1.0625 -0.716667 0.0202454
-1.0625 -0.683333 0.0130751
-1.0625 -0.65 0.0082266
-1.0625 -0.616667 0.00504476
-1.0625 -0.583333 0.00301644
-1.0625 -0.55 0.00175945
-1.0625 -0.516667 0.00100157
-1.0625 -0.483333 0.000556668
-1.0625 -0.45 0.000302216
-1.0625 -0.416667 0.000160336
-1.0625 -0.383333 8.31612e-05
-1.0625 -0.35 4.21859e-05
-1.0625 -0.316667 2.09385e-05
-1.0625 -0.283333 1.01726e-05
-1.0625 -0.25 4.83932e-06
-1.0625 -0.216667 2.25526e-06
-1.0625 -0.183333 1.03288e-06
-1.0625 -0.15 4.96994e-07
-1.0625 -0.116667 4.83485e-07
-1.0625 -0.0833333 1.73604e-06
-1.0625 -0.05 7.79098e-06
-1.0625 -0.0166667 3.04776e-05
-1.0625 0.0166667 0.00010286
-1.0625 0.05 0.000304778
-1.0625 0.0833333 0.000805392
-1.0625 0.116667 0.0019224
-1.0625 0.15 0.00418811
-1.0625 0.183333 0.00840079
-1.0625 0.216667 0.0156309
-1.0625 0.25 0.0271533
-1.0625 0.283333 0.0442921
-1.0625 0.316667 0.0681915
-1.0625 0.35 0.099558
-1.0625 0.383333 0.138437
-1.0625 0.416667 0.184089
-1.0625 0.45 0.235003
-1.0625 0.483333 0.289051
-1.0625 0.516667 0.343739
-1.0625 0.55 0.396488
-1.0625 0.583333 0.444879
-1.0625 0.616667 0.4868
-1.0625 0.65 0.52051
-1.0625 0.683333 0.544619
-1.0625 0.716667 0.558072
-1.0625 0.75 0.560149
-1.0625 0.783333 0.550542
-1.0625 0.816667 0.529463
-1.0625 0.85 0.497755
-1.0625 0.883333 0.456947
-1.0625 0.916667 0.409193
-1.0625 0.95 0.357101
-1.0625 0.983333 0.303468
-1.0625 1.01667 0.250976
-1.0625 1.05 0.201914
-1.0625 1.08333 0.157981
-1.0625 1.11667 0.120201
-1.0375 -1.11667 0.407121
-1.0375 -1.08333 0.364574
-1.0375 -1.05 0.318163
-1.0375 -1.01667 0.270379
-1.0375 -0.983333 0.223611
-1.0375 -0.95 0.179898
-1.0375 -0.916667 0.140755
-1.0375 -0.883333 0.107094
-1.0375 -0.85 0.07924
-1.0375 -0.816667 0.0570246
-1.0375 -0.783333 0.0399224
-1.0375 -0.75 0.0271978
-1.0375 -0.716667 0.018037
-1.0375 -0.683333 0.0116486
-1.0375 -0.65 0.00732893
-1.0375 -0.616667 0.00449417
-1.0375 -0.583333 0.00268714
-1.0375 -0.55 0.00156732
-1.0375 -0.516667 0.000892164
-1.0375 -0.483333 0.000495842
-1.0375 -0.45 0.00026918
-1.0375 -0.416667 0.000142802
-1.0375 -0.383333 7.40625e-05
-1.0375 -0.35 3.75679e-05
-1.0375 -0.316667 1.86452e-05
