NumXCells: 80
NumYCells: 60
NumGhostCells: 4
Time: 0.5625
CFL: 0.3
-1.0875 -1.11667 0.00103107
-1.0875 -1.08333 0.000365741
-1.0875 -1.05 0.000124023
-1.0875 -1.01667 4.03086e-05
-1.0875 -0.983333 1.25854e-05
-1.0875 -0.95 3.78252e-06
-1.0875 -0.916667 1.09624e-06
-1.0875 -0.883333 3.06844e-07
-1.0875 -0.85 8.30666e-08
-1.0875 -0.816667 2.17761e-08
-1.0875 -0.783333 5.53402e-09
-1.0875 -0.75 1.36473e-09
-1.0875 -0.716667 3.26553e-10
-1.0875 -0.683333 7.56506e-11
-1.0875 -0.65 1.68825e-11
-1.0875 -0.616667 3.86302e-12
-1.0875 -0.583333 1.5279e-12
-1.0875 -0.55 8.57483e-13
-1.0875 -0.516667 4.64073e-13
-1.0875 -0.483333 2.4144e-13
-1.0875 -0.45 1.21104e-13
-1.0875 -0.416667 5.86674e-14
-1.0875 -0.383333 2.74965e-14
-1.0875 -0.35 1.24873e-14
-1.0875 -0.316667 5.50244e-15
-1.0875 -0.283333 2.35531e-15
-1.0875 -0.25 9.80402e-16
-1.0875 -0.216667 1.97175e-13
-1.0875 -0.183333 4.55097e-12
-1.0875 -0.15 6.82858e-11
-1.0875 -0.116667 7.21426e-10
-1.0875 -0.0833333 5.81769e-09
-1.0875 -0.05 3.79274e-08
-1.0875 -0.0166667 2.07487e-07
-1.0875 0.0166667 9.76761e-07
-1.0875 0.05 4.02739e-06
-1.0875 0.0833333 1.47313e-05
-1.0875 0.116667 4.82483e-05
-1.0875 0.15 0.000142448
-1.0875 0.183333 0.000380847
-1.0875 0.216667 0.00092458
-1.0875 0.25 0.0020399
-1.0875 0.283333 0.00408427
-1.0875 0.316667 0.00737144
-1.0875 0.35 0.0116498
-1.0875 0.383333 0.0152217
-1.0875 0.416667 0.016962
-1.0875 0.45 0.0176402
-1.0875 0.483333 0.0178789
-1.0875 0.516667 0.0179421
-1.0875 0.55 0.0179465
-1.0875 0.583333 0.017927
-1.0875 0.616667 0.0178445
-1.0875 0.65 0.0176129
-1.0875 0.683333 0.0170711
-1.0875 0.716667 0.0159547
-1.0875 0.75 0.0139086
-1.0875 0.783333 0.0106204
