NumXCells: 80
NumYCells: 60
NumGhostCells: 4
Time: 1.93125
CFL: 0.3
-1.0875 -1.11667 7.14574e-14
-1.0875 -1.08333 6.31277e-14
-1.0875 -1.05 6.19341e-14
-1.0875 -1.01667 6.8222e-14
-1.0875 -0.983333 8.29154e-14
-1.0875 -0.95 1.07481e-13
-1.0875 -0.916667 1.43965e-13
-1.0875 -0.883333 1.9506e-13
-1.0875 -0.85 2.64191e-13
-1.0875 -0.816667 3.55657e-13
-1.0875 -0.783333 4.74874e-13
-1.0875 -0.75 6.28796e-13
-1.0875 -0.716667 8.26597e-13
-1.0875 -0.683333 1.08072e-12
-1.0875 -0.65 1.40851e-12
-1.0875 -0.616667 1.83624e-12
-1.0875 -0.583333 2.40562e-12
-1.0875 -0.55 3.18927e-12
-1.0875 -0.516667 4.31248e-12
-1.0875 -0.483333 5.97965e-12
-1.0875 -0.45 8.49719e-12
-1.0875 -0.416667 1.22978e-11
-1.0875 -0.383333 1.79102e-11
-1.0875 -0.35 2.58944e-11
-1.0875 -0.316667 3.66719e-11
-1.0875 -0.283333 5.00856e-11
-1.0875 -0.25 6.43007e-11
-1.0875 -0.216667 7.52683e-11
-1.0875 -0.183333 8.09578e-11
-1.0875 -0.15 8.30977e-11
-1.0875 -0.116667 8.36313e-11
-1.0875 -0.0833333 8.36419e-11
-1.0875 -0.05 8.35146e-11
-1.0875 -0.0166667 8.31131e-11
-1.0875 0.0166667 8.15864e-11
-1.0875 0.05 7.83891e-11
-1.0875 0.0833333 7.28929e-11
-1.0875 0.116667 6.45093e-11
-1.0875 0.15 5.28318e-11
-1.0875 0.183333 3.82137e-11
-1.0875 0.216667 2.34085e-11
-1.0875 0.25 1.29297e-11
-1.0875 0.283333 7.39959e-12
-1.0875 0.316667 4.61069e-12
-1.0875 0.35 3.21142e-12
-1.0875 0.383333 2.62404e-12
-1.0875 0.416667 2.10693e-12
-1.0875 0.45 1.67943e-12
-1.0875 0.483333 1.33612e-12
-1.0875 0.516667 1.06131e-12
-1.0875 0.55 8.40363e-13
-1.0875 0.583333 6.62405e-13
-1.0875 0.616667 5.19404e-13
-1.0875 0.65 4.05044e-13
-1.0875 0.683333 3.14141e-13
-1.0875 0.716667 2.42412e-13
-1.0875 0.75 1.86349e-13
-1.0875 0.783333 1.4314e-13
-1.0875 0.816667 1.10592e-13
-1.0875 0.85 8.70703e-14
-1.0875 0.883333 7.14574e-14
-1.0875 0.916667 6.31277e-14
-1.0875 0.95 6.19341e-14
-1.0875 0.983333 6.8222e-14
-1.0875 1.01667 8.29154e-14
-1.0875 1.05 1.07481e-13
-1.0875 1.08333 1.43965e-13
-1.0875 1.11667 1.9506e-13
-1.0625 -1.11667 6.70245e-14
-1.0625 -1.08333 5.92263e-14
-1.0625 -1.05 5.84688e-14
-1.0625 -1.01667 6.51565e-14
-1.0625 -0.983333 8.03171e-14
-1.0625 -0.95 1.05585e-13
-1.0625 -0.916667 1.43279e-13
-1.0625 -0.883333 1.96518e-13
-1.0625 -0.85 2.69414e-13
-1.0625 -0.816667 3.67363e-13
-1.0625 -0.783333 4.97559e-13
-1.0625 -0.75 6.69894e-13
-1.0625 -0.716667 8.98626e-13
-1.0625 -0.683333 1.20564e-12
-1.0625 -0.65 1.62751e-12
-1.0625 -0.616667 2.22962e-12
-1.0625 -0.583333 3.13273e-12
-1.0625 -0.55 4.55343e-12
-1.0625 -0.516667 6.85427e-12
-1.0625 -0.483333 1.06004e-11
-1.0625 -0.45 1.66119e-11
-1.0625 -0.416667 2.59921e-11
-1.0625 -0.383333 4.00912e-11
-1.0625 -0.35 6.03454e-11
-1.0625 -0.316667 8.78754e-11
-1.0625 -0.283333 1.2241e-10
-1.0625 -0.25 1.59158e-10
-1.0625 -0.216667 1.86938e-10
-1.0625 -0.183333 2.00835e-10
-1.0625 -0.15 2.05996e-10
-1.0625 -0.116667 2.07358e-10
-1.0625 -0.0833333 2.07391e-10
-1.0625 -0.05 2.06944e-10
-1.0625 -0.0166667 2.05106e-10
-1.0625 0.0166667 2.00733e-10
-1.0625 0.05 1.92473e-10
-1.0625 0.0833333 1.78829e-10
-1.0625 0.116667 1.58347e-10
-1.0625 0.15 1.30054e-10
-1.0625 0.183333 9.46423e-11
-1.0625 0.216667 5.77898e-11
-1.0625 0.25 3.02053e-11
-1.0625 0.283333 1.51897e-11
-1.0625 0.316667 7.90421e-12
-1.0625 0.35 4.45767e-12
-1.0625 0.383333 2.87177e-12
-1.0625 0.416667 2.25939e-12
-1.0625 0.45 1.75946e-12
-1.0625 0.483333 1.3766e-12
-1.0625 0.516667 1.08139e-12
-1.0625 0.55 8.48636e-13
-1.0625 0.583333 6.63181e-13
-1.0625 0.616667 5.15514e-13
-1.0625 0.65 3.98565e-13
-1.0625 0.683333 3.06555e-13
-1.0625 0.716667 2.34687e-13
-1.0625 0.75 1.7905e-13
-1.0625 0.783333 1.3654e-13
-1.0625 0.816667 1.04771e-13
-1.0625 0.85 8.19916e-14
-1.0625 0.883333 6.70245e-14
-1.0625 0.916667 5.92263e-14
-1.0625 0.95 5.84688e-14
-1.0625 0.983333 6.51565e-14
-1.0625 1.01667 8.03171e-14
-1.0625 1.05 1.05585e-13
-1.0625 1.08333 1.43279e-13
-1.0625 1.11667 1.96518e-13
-1.0375 -1.11667 7.02067e-14
-1.0375 -1.08333 6.23575e-14
-1.0375 -1.05 6.22175e-14
-1.0375 -1.01667 7.03272e-14
-1.0375 -0.983333 8.79673e-14
-1.0375 -0.95 1.17161e-13
-1.0375 -0.916667 1.60818e-13
-1.0375 -0.883333 2.22964e-13
-1.0375 -0.85 3.09119e-13
-1.0375 -0.816667 4.26978e-13
-1.0375 -0.783333 5.87679e-13
-1.0375 -0.75 8.0838e-13
-1.0375 -0.716667 1.11788e-12
-1.0375 -0.683333 1.56928e-12
-1.0375 -0.65 2.2667e-12
-1.0375 -0.616667 3.41327e-12
-1.0375 -0.583333 5.3848e-12
-1.0375 -0.55 8.83233e-12
-1.0375 -0.516667 1.48164e-11
-1.0375 -0.483333 2.49658e-11
-1.0375 -0.45 4.16296e-11
-1.0375 -0.416667 6.7957e-11
-1.0375 -0.383333 1.07798e-10
-1.0375 -0.35 1.6526e-10
-1.0375 -0.316667 2.43625e-10
-1.0375 -0.283333 3.42323e-10
-1.0375 -0.25 4.47504e-10
-1.0375 -0.216667 5.26171e-10
-1.0375 -0.183333 5.64766e-10
-1.0375 -0.15 5.78915e-10
-1.0375 -0.116667 5.82548e-10
-1.0375 -0.0833333 5.82535e-10
-1.0375 -0.05 5.80902e-10
-1.0375 -0.0166667 5.75268e-10
-1.0375 0.0166667 5.62531e-10
-1.0375 0.05 5.38978e-10
-1.0375 0.0833333 5.00512e-10
-1.0375 0.116667 4.43146e-10
-1.0375 0.15 3.64189e-10
-1.0375 0.183333 2.65414e-10
-1.0375 0.216667 1.61644e-10
-1.0375 0.25 8.24655e-11
-1.0375 0.283333 3.90515e-11
-1.0375 0.316667 1.83718e-11
-1.0375 0.35 8.87205e-12
-1.0375 0.383333 4.62307e-12
-1.0375 0.416667 2.71604e-12
-1.0375 0.45 2.02204e-12
-1.0375 0.483333 1.53592e-12
-1.0375 0.516667 1.19084e-12
-1.0375 0.55 9.28478e-13
-1.0375 0.583333 7.21532e-13
-1.0375 0.616667 5.57632e-13
-1.0375 0.65 4.28617e-13
-1.0375 0.683333 3.27813e-13
-1.0375 0.716667 2.4963e-13
-1.0375 0.75 1.89512e-13
-1.0375 0.783333 1.43869e-13
-1.0375 0.816667 1.09972e-13
-1.0375 0.85 8.58516e-14
-1.0375 0.883333 7.02067e-14
-1.0375 0.916667 6.23575e-14
-1.0375 0.95 6.22175e-14
-1.0375 0.983333 7.03272e-14
-1.0375 1.01667 8.79673e-14
-1.0375 1.05 1.17161e-13
-1.0375 1.08333 1.60818e-13
-1.0375 1.11667 2.22964e-13
-1.0125 -1.11667 8.17923e-14
-1.0125 -1.08333 7.32908e-14
-1.0125 -1.05 7.40561e-14
-1.0125 -1.01667 8.48756e-14
-1.0125 -0.983333 1.07496e-13
-1.0125 -0.95 1.44665e-13
-1.0125 -0.916667 2.00403e-13
-1.0125 -0.883333 2.80482e-13
-1.0125 -0.85 3.93293e-13
-1.0125 -0.816667 5.51578e-13
-1.0125 -0.783333 7.76194e-13
-1.0125 -0.75 1.10492e-12
-1.0125 -0.716667 1.61326e-12
-1.0125 -0.683333 2.4587e-12
-1.0125 -0.65 3.96058e-12
-1.0125 -0.616667 6.72809e-12
-1.0125 -0.583333 1.1855e-11
-1.0125 -0.55 2.12032e-11
-1.0125 -0.516667 3.77845e-11
-1.0125 -0.483333 6.62157e-11
-1.0125 -0.45 1.13157e-10
-1.0125 -0.416667 1.87548e-10
-1.0125 -0.383333 3.00322e-10
-1.0125 -0.35 4.63171e-10
-1.0125 -0.316667 6.85521e-10
-1.0125 -0.283333 9.65993e-10
-1.0125 -0.25 1.26499e-09
-1.0125 -0.216667 1.48754e-09
-1.0125 -0.183333 1.59574e-09
-1.0125 -0.15 1.63501e-09
-1.0125 -0.116667 1.64457e-09
-1.0125 -0.0833333 1.6445e-09
-1.0125 -0.05 1.63969e-09
-1.0125 -0.0166667 1.62352e-09
-1.0125 0.0166667 1.5873e-09
-1.0125 0.05 1.52058e-09
-1.0125 0.0833333 1.41182e-09
-1.0125 0.116667 1.24985e-09
-1.0125 0.15 1.02717e-09
-1.0125 0.183333 7.48729e-10
-1.0125 0.216667 4.5557e-10
-1.0125 0.25 2.30775e-10
-1.0125 0.283333 1.07194e-10
-1.0125 0.316667 4.86386e-11
-1.0125 0.35 2.19764e-11
-1.0125 0.383333 1.01331e-11
-1.0125 0.416667 4.90839e-12
-1.0125 0.45 2.79124e-12
-1.0125 0.483333 1.78451e-12
-1.0125 0.516667 1.40053e-12
-1.0125 0.55 1.0935e-12
-1.0125 0.583333 8.48192e-13
-1.0125 0.616667 6.53684e-13
-1.0125 0.65 5.00959e-13
-1.0125 0.683333 3.82078e-13
-1.0125 0.716667 2.90248e-13
-1.0125 0.75 2.19912e-13
-1.0125 0.783333 1.66716e-13
-1.0125 0.816667 1.27382e-13
-1.0125 0.85 9.95749e-14
-1.0125 0.883333 8.17923e-14
-1.0125 0.916667 7.32908e-14
-1.0125 0.95 7.40561e-14
-1.0125 0.983333 8.48756e-14
-1.0125 1.01667 1.07496e-13
-1.0125 1.05 1.44665e-13
-1.0125 1.08333 2.00403e-13
-1.0125 1.11667 2.80482e-13
-0.9875 -1.11667 1.03255e-13
-0.9875 -1.08333 9.34652e-14
-0.9875 -1.05 9.55905e-14
-0.9875 -1.01667 1.10827e-13
-0.9875 -0.983333 1.33375e-13
-0.9875 -0.95 1.79745e-13
-0.9875 -0.916667 2.50016e-13
-0.9875 -0.883333 3.52395e-13
-0.9875 -0.85 4.99628e-13
-0.9875 -0.816667 7.13035e-13
-0.9875 -0.783333 1.03227e-12
-0.9875 -0.75 1.53944e-12
-0.9875 -0.716667 2.41287e-12
-0.9875 -0.683333 4.02945e-12
-0.9875 -0.65 7.13825e-12
-0.9875 -0.616667 1.31437e-11
-0.9875 -0.583333 2.45521e-11
-0.9875 -0.55 4.56339e-11
-0.9875 -0.516667 8.33272e-11
-0.9875 -0.483333 1.4833e-10
-0.9875 -0.45 2.56187e-10
-0.9875 -0.416667 4.27946e-10
-0.9875 -0.383333 6.8967e-10
-0.9875 -0.35 1.06977e-09
-0.9875 -0.316667 1.5924e-09
-0.9875 -0.283333 2.25946e-09
-0.9875 -0.25 2.99032e-09
-0.9875 -0.216667 3.56093e-09
-0.9875 -0.183333 3.8491e-09
-0.9875 -0.15 3.95628e-09
-0.9875 -0.116667 3.98368e-09
-0.9875 -0.0833333 3.98476e-09
-0.9875 -0.05 3.9749e-09
-0.9875 -0.0166667 3.93961e-09
-0.9875 0.0166667 3.8584e-09
-0.9875 0.05 3.70634e-09
-0.9875 0.0833333 3.4556e-09
-0.9875 0.116667 3.07882e-09
-0.9875 0.15 2.55628e-09
-0.9875 0.183333 1.89473e-09
-0.9875 0.216667 1.17953e-09
-0.9875 0.25 6.07061e-10
-0.9875 0.283333 2.82256e-10
-0.9875 0.316667 1.27107e-10
-0.9875 0.35 5.63648e-11
-0.9875 0.383333 2.48583e-11
-0.9875 0.416667 1.10617e-11
-0.9875 0.45 5.22017e-12
-0.9875 0.483333 2.74133e-12
-0.9875 0.516667 1.73568e-12
-0.9875 0.55 1.36063e-12
-0.9875 0.583333 1.05802e-12
-0.9875 0.616667 8.16642e-13
-0.9875 0.65 6.26454e-13
-0.9875 0.683333 4.78147e-13
-0.9875 0.716667 3.6349e-13
-0.9875 0.75 2.75625e-13
-0.9875 0.783333 2.09122e-13
-0.9875 0.816667 1.59883e-13
-0.9875 0.85 1.24988e-13
-0.9875 0.883333 1.02559e-13
-0.9875 0.916667 9.16666e-14
-0.9875 0.95 9.22924e-14
-0.9875 0.983333 1.05435e-13
-0.9875 1.01667 1.41714e-13
-0.9875 1.05 1.92255e-13
-0.9875 1.08333 2.68493e-13
-0.9875 1.11667 3.79584e-13
-0.9625 -1.11667 1.36755e-13
-0.9625 -1.08333 1.25031e-13
-0.9625 -1.05 1.29242e-13
-0.9625 -1.01667 1.51255e-13
-0.9625 -0.983333 1.8234e-13
-0.9625 -0.95 2.47599e-13
-0.9625 -0.916667 3.47481e-13
-0.9625 -0.883333 4.96091e-13
-0.9625 -0.85 7.18005e-13
-0.9625 -0.816667 1.06122e-12
-0.9625 -0.783333 1.63035e-12
-0.9625 -0.75 2.66255e-12
-0.9625 -0.716667 4.67524e-12
-0.9625 -0.683333 8.72905e-12
-0.9625 -0.65 1.6883e-11
-0.9625 -0.616667 3.29582e-11
-0.9625 -0.583333 6.37519e-11
-0.9625 -0.55 1.20838e-10
-0.9625 -0.516667 2.23021e-10
-0.9625 -0.483333 3.99293e-10
-0.9625 -0.45 6.91791e-10
-0.9625 -0.416667 1.15757e-09
-0.9625 -0.383333 1.86729e-09
-0.9625 -0.35 2.89798e-09
-0.9625 -0.316667 4.31522e-09
-0.9625 -0.283333 6.12429e-09
-0.9625 -0.25 8.1061e-09
-0.9625 -0.216667 9.65148e-09
-0.9625 -0.183333 1.043e-08
-0.9625 -0.15 1.07185e-08
-0.9625 -0.116667 1.07917e-08
-0.9625 -0.0833333 1.07946e-08
-0.9625 -0.05 1.07676e-08
-0.9625 -0.0166667 1.06718e-08
-0.9625 0.0166667 1.04517e-08
-0.9625 0.05 1.00396e-08
-0.9625 0.0833333 9.36016e-09
-0.9625 0.116667 8.33909e-09
-0.9625 0.15 6.92324e-09
-0.9625 0.183333 5.13125e-09
-0.9625 0.216667 3.19428e-09
-0.9625 0.25 1.64346e-09
-0.9625 0.283333 7.63029e-10
-0.9625 0.316667 3.42469e-10
-0.9625 0.35 1.50781e-10
-0.9625 0.383333 6.53866e-11
-0.9625 0.416667 2.80984e-11
-0.9625 0.45 1.21555e-11
-0.9625 0.483333 5.50784e-12
-0.9625 0.516667 2.79499e-12
-0.9625 0.55 1.74608e-12
-0.9625 0.583333 1.35337e-12
-0.9625 0.616667 1.04603e-12
-0.9625 0.65 8.04445e-13
-0.9625 0.683333 6.15511e-13
-0.9625 0.716667 4.68933e-13
-0.9625 0.75 3.56314e-13
-0.9625 0.783333 2.70967e-13
-0.9625 0.816667 2.0781e-13
-0.9625 0.85 1.63216e-13
-0.9625 0.883333 1.34887e-13
-0.9625 0.916667 1.2175e-13
-0.9625 0.95 1.23921e-13
-0.9625 0.983333 1.42967e-13
-0.9625 1.01667 1.94935e-13
-0.9625 1.05 2.66477e-13
-0.9625 1.08333 3.75691e-13
-0.9625 1.11667 5.38721e-13
-0.9375 -1.11667 1.85227e-13
-0.9375 -1.08333 1.70972e-13
-0.9375 -1.05 1.78441e-13
-0.9375 -1.01667 2.10616e-13
-0.9375 -0.983333 2.55018e-13
-0.9375 -0.95 3.49403e-13
-0.9375 -0.916667 4.9665e-13
-0.9375 -0.883333 7.24032e-13
-0.9375 -0.85 1.0869e-12
-0.9375 -0.816667 1.71108e-12
-0.9375 -0.783333 2.8927e-12
-0.9375 -0.75 5.29873e-12
-0.9375 -0.716667 1.03403e-11
-0.9375 -0.683333 2.0854e-11
-0.9375 -0.65 4.23062e-11
-0.9375 -0.616667 8.48224e-11
-0.9375 -0.583333 1.66408e-10
-0.9375 -0.55 3.17719e-10
-0.9375 -0.516667 5.88559e-10
-0.9375 -0.483333 1.05572e-09
-0.9375 -0.45 1.83079e-09
-0.9375 -0.416667 3.06484e-09
-0.9375 -0.383333 4.94495e-09
-0.9375 -0.35 7.67507e-09
-0.9375 -0.316667 1.14288e-08
-0.9375 -0.283333 1.622e-08
-0.9375 -0.25 2.14674e-08
-0.9375 -0.216667 2.55559e-08
-0.9375 -0.183333 2.76129e-08
-0.9375 -0.15 2.8374e-08
-0.9375 -0.116667 2.85666e-08
-0.9375 -0.0833333 2.85741e-08
-0.9375 -0.05 2.85021e-08
-0.9375 -0.0166667 2.8248e-08
-0.9375 0.0166667 2.7665e-08
-0.9375 0.05 2.65737e-08
-0.9375 0.0833333 2.47743e-08
-0.9375 0.116667 2.20705e-08
-0.9375 0.15 1.83218e-08
-0.9375 0.183333 1.35783e-08
-0.9375 0.216667 8.45231e-09
-0.9375 0.25 4.34846e-09
-0.9375 0.283333 2.01827e-09
-0.9375 0.316667 9.05059e-10
-0.9375 0.35 3.97619e-10
-0.9375 0.383333 1.7156e-10
-0.9375 0.416667 7.28614e-11
-0.9375 0.45 3.0624e-11
-0.9375 0.483333 1.29173e-11
-0.9375 0.516667 5.81341e-12
-0.9375 0.55 2.60996e-12
-0.9375 0.583333 1.89632e-12
-0.9375 0.616667 1.41732e-12
-0.9375 0.65 1.07324e-12
-0.9375 0.683333 8.16257e-13
-0.9375 0.716667 6.21006e-13
-0.9375 0.75 4.7226e-13
-0.9375 0.783333 3.59906e-13
-0.9375 0.816667 2.76943e-13
-0.9375 0.85 2.18611e-13
-0.9375 0.883333 1.81995e-13
-0.9375 0.916667 1.65829e-13
-0.9375 0.95 1.70454e-13
-0.9375 0.983333 1.9837e-13
