NumXCells: 80
NumYCells: 60
NumGhostCells: 4
Time: 1.8125
CFL: 0.5
-1.0875 -1.11667 1.38868e-06
-1.0875 -1.08333 1.86986e-06
-1.0875 -1.05 2.74763e-06
-1.0875 -1.01667 4.15465e-06
-1.0875 -0.983333 6.27029e-06
-1.0875 -0.95 9.32227e-06
-1.0875 -0.916667 1.3585e-05
-1.0875 -0.883333 1.93731e-05
-1.0875 -0.85 2.703e-05
-1.0875 -0.816667 3.69095e-05
-1.0875 -0.783333 4.9352e-05
-1.0875 -0.75 6.46562e-05
-1.0875 -0.716667 8.30472e-05
-1.0875 -0.683333 0.000104645
-1.0875 -0.65 0.000129433
-1.0875 -0.616667 0.000157238
-1.0875 -0.583333 0.000187714
-1.0875 -0.55 0.000220333
-1.0875 -0.516667 0.000254403
-1.0875 -0.483333 0.00028908
-1.0875 -0.45 0.000323405
-1.0875 -0.416667 0.000356344
-1.0875 -0.383333 0.000386843
-1.0875 -0.35 0.000413877
-1.0875 -0.316667 0.000436507
-1.0875 -0.283333 0.000453932
-1.0875 -0.25 0.000465534
-1.0875 -0.216667 0.000470912
-1.0875 -0.183333 0.000469903
-1.0875 -0.15 0.000462596
-1.0875 -0.116667 0.000449315
-1.0875 -0.0833333 0.000430608
-1.0875 -0.05 0.000407204
-1.0875 -0.0166667 0.000379976
-1.0875 0.0166667 0.000349883
-1.0875 0.05 0.000317924
-1.0875 0.0833333 0.000285076
-1.0875 0.116667 0.000252259
-1.0875 0.15 0.000220286
-1.0875 0.183333 0.000189843
-1.0875 0.216667 0.000161465
-1.0875 0.25 0.000135535
-1.0875 0.283333 0.000112289
-1.0875 0.316667 9.18224e-05
-1.0875 0.35 7.41157e-05
-1.0875 0.383333 5.90535e-05
-1.0875 0.416667 4.64497e-05
-1.0875 0.45 3.60705e-05
-1.0875 0.483333 2.76557e-05
-1.0875 0.516667 2.09371e-05
-1.0875 0.55 1.56528e-05
-1.0875 0.583333 1.15579e-05
-1.0875 0.616667 8.43132e-06
-1.0875 0.65 6.08023e-06
-1.0875 0.683333 4.34169e-06
-1.0875 0.716667 3.08288e-06
-1.0875 0.75 2.20059e-06
-1.0875 0.783333 1.62051e-06
-1.0875 0.816667 1.29716e-06
-1.0875 0.85 1.21464e-06
-1.0875 0.883333 1.38868e-06
-1.0875 0.916667 1.86986e-06
-1.0875 0.95 2.74763e-06
-1.0875 0.983333 4.15465e-06
-1.0875 1.01667 6.27029e-06
-1.0875 1.05 9.32227e-06
-1.0875 1.08333 1.3585e-05
-1.0875 1.11667 1.93731e-05
-1.0625 -1.11667 2.06705e-06
-1.0625 -1.08333 2.78291e-06
-1.0625 -1.05 4.08897e-06
-1.0625 -1.01667 6.18262e-06
-1.0625 -0.983333 9.33076e-06
-1.0625 -0.95 1.38722e-05
-1.0625 -0.916667 2.02153e-05
-1.0625 -0.883333 2.88284e-05
-1.0625 -0.85 4.02221e-05
-1.0625 -0.816667 5.4923e-05
-1.0625 -0.783333 7.34377e-05
-1.0625 -0.75 9.62106e-05
-1.0625 -0.716667 0.000123577
-1.0625 -0.683333 0.000155713
-1.0625 -0.65 0.000192598
-1.0625 -0.616667 0.000233972
-1.0625 -0.583333 0.000279319
-1.0625 -0.55 0.000327856
-1.0625 -0.516667 0.000378551
-1.0625 -0.483333 0.000430149
-1.0625 -0.45 0.000481223
-1.0625 -0.416667 0.000530237
-1.0625 -0.383333 0.000575619
-1.0625 -0.35 0.000615845
-1.0625 -0.316667 0.000649518
-1.0625 -0.283333 0.000675447
-1.0625 -0.25 0.000692712
-1.0625 -0.216667 0.000700715
-1.0625 -0.183333 0.000699217
-1.0625 -0.15 0.000688345
-1.0625 -0.116667 0.000668587
-1.0625 -0.0833333 0.000640753
-1.0625 -0.05 0.000605932
-1.0625 -0.0166667 0.00056542
-1.0625 0.0166667 0.000520645
-1.0625 0.05 0.000473092
-1.0625 0.0833333 0.000424217
-1.0625 0.116667 0.000375387
-1.0625 0.15 0.000327813
-1.0625 0.183333 0.000282513
-1.0625 0.216667 0.000240287
-1.0625 0.25 0.000201704
-1.0625 0.283333 0.000167112
-1.0625 0.316667 0.000136656
-1.0625 0.35 0.000110306
-1.0625 0.383333 8.78917e-05
-1.0625 0.416667 6.9135e-05
-1.0625 0.45 5.36884e-05
-1.0625 0.483333 4.11649e-05
-1.0625 0.516667 3.11656e-05
-1.0625 0.55 2.33007e-05
-1.0625 0.583333 1.72058e-05
-1.0625 0.616667 1.25519e-05
-1.0625 0.65 9.05222e-06
-1.0625 0.683333 6.4642e-06
-1.0625 0.716667 4.59023e-06
-1.0625 0.75 3.27667e-06
-1.0625 0.783333 2.41297e-06
-1.0625 0.816667 1.9314e-06
-1.0625 0.85 1.80829e-06
-1.0625 0.883333 2.06705e-06
-1.0625 0.916667 2.78291e-06
-1.0625 0.95 4.08897e-06
-1.0625 0.983333 6.18262e-06
-1.0625 1.01667 9.33076e-06
-1.0625 1.05 1.38722e-05
-1.0625 1.08333 2.02153e-05
-1.0625 1.11667 2.88284e-05
-1.0375 -1.11667 3.13243e-06
-1.0375 -1.08333 4.21717e-06
-1.0375 -1.05 6.19619e-06
-1.0375 -1.01667 9.3685e-06
-1.0375 -0.983333 1.41385e-05
-1.0375 -0.95 2.10195e-05
-1.0375 -0.916667 3.06299e-05
-1.0375 -0.883333 4.36793e-05
-1.0375 -0.85 6.09412e-05
-1.0375 -0.816667 8.32131e-05
-1.0375 -0.783333 0.000111262
-1.0375 -0.75 0.000145762
-1.0375 -0.716667 0.000187219
