NumXCells: 80
NumYCells: 60
NumGhostCells: 4
Time: 1.5
CFL: 0.3
-1.0875 -1.11667 5.31158e-08
-1.0875 -1.08333 1.24154e-07
-1.0875 -1.05 2.79338e-07
-1.0875 -1.01667 6.04809e-07
-1.0875 -0.983333 1.25964e-06
-1.0875 -0.95 2.52206e-06
-1.0875 -0.916667 4.85055e-06
-1.0875 -0.883333 8.95131e-06
-1.0875 -0.85 1.58286e-05
-1.0875 -0.816667 2.67726e-05
-1.0875 -0.783333 4.32142e-05
-1.0875 -0.75 6.63285e-05
-1.0875 -0.716667 9.59453e-05
-1.0875 -0.683333 0.000127306
-1.0875 -0.65 0.000149946
-1.0875 -0.616667 0.0001607
-1.0875 -0.583333 0.000164595
-1.0875 -0.55 0.000165549
-1.0875 -0.516667 0.000165567
-1.0875 -0.483333 0.000165137
-1.0875 -0.45 0.00016366
-1.0875 -0.416667 0.000160273
-1.0875 -0.383333 0.000153861
-1.0875 -0.35 0.000143101
-1.0875 -0.316667 0.000126609
-1.0875 -0.283333 0.000103352
-1.0875 -0.25 7.38166e-05
-1.0875 -0.216667 4.30715e-05
-1.0875 -0.183333 2.07199e-05
-1.0875 -0.15 9.16406e-06
-1.0875 -0.116667 3.92914e-06
-1.0875 -0.0833333 1.64435e-06
-1.0875 -0.05 6.72464e-07
-1.0875 -0.0166667 2.68955e-07
-1.0875 0.0166667 1.05284e-07
-1.0875 0.05 4.0368e-08
-1.0875 0.0833333 1.51706e-08
-1.0875 0.116667 5.59104e-09
-1.0875 0.15 2.02166e-09
-1.0875 0.183333 7.18171e-10
-1.0875 0.216667 2.51157e-10
-1.0875 0.25 8.62109e-11
-1.0875 0.283333 2.93023e-11
-1.0875 0.316667 1.02526e-11
-1.0875 0.35 4.03674e-12
-1.0875 0.383333 2.28431e-12
-1.0875 0.416667 1.74521e-12
-1.0875 0.45 1.41655e-12
-1.0875 0.483333 1.3182e-12
-1.0875 0.516667 1.51993e-12
-1.0875 0.55 2.43463e-12
-1.0875 0.583333 5.60741e-12
-1.0875 0.616667 1.60044e-11
-1.0875 0.65 4.86284e-11
-1.0875 0.683333 1.46776e-10
-1.0875 0.716667 4.30171e-10
-1.0875 0.75 1.21608e-09
-1.0875 0.783333 3.31024e-09
-1.0875 0.816667 8.6734e-09
-1.0875 0.85 2.18759e-08
-1.0875 0.883333 5.31158e-08
-1.0875 0.916667 1.24154e-07
-1.0875 0.95 2.79338e-07
-1.0875 0.983333 6.04809e-07
-1.0875 1.01667 1.25964e-06
-1.0875 1.05 2.52206e-06
-1.0875 1.08333 4.85055e-06
-1.0875 1.11667 8.95131e-06
-1.0625 -1.11667 1.1686e-07
-1.0625 -1.08333 2.73122e-07
-1.0625 -1.05 6.14436e-07
-1.0625 -1.01667 1.3302e-06
-1.0625 -0.983333 2.77011e-06
-1.0625 -0.95 5.54571e-06
-1.0625 -0.916667 1.06646e-05
-1.0625 -0.883333 1.96784e-05
-1.0625 -0.85 3.47933e-05
-1.0625 -0.816667 5.88427e-05
-1.0625 -0.783333 9.49678e-05
-1.0625 -0.75 0.000145746
-1.0625 -0.716667 0.000210797
-1.0625 -0.683333 0.000279661
-1.0625 -0.65 0.000329362
-1.0625 -0.616667 0.000352965
-1.0625 -0.583333 0.000361512
-1.0625 -0.55 0.000363603
-1.0625 -0.516667 0.000363642
-1.0625 -0.483333 0.000362696
-1.0625 -0.45 0.000359447
-1.0625 -0.416667 0.000352001
-1.0625 -0.383333 0.000337908
-1.0625 -0.35 0.000314263
-1.0625 -0.316667 0.000278026
-1.0625 -0.283333 0.000226934
-1.0625 -0.25 0.000162063
-1.0625 -0.216667 9.45518e-05
-1.0625 -0.183333 4.54837e-05
-1.0625 -0.15 2.01171e-05
-1.0625 -0.116667 8.62555e-06
-1.0625 -0.0833333 3.60988e-06
-1.0625 -0.05 1.47631e-06
-1.0625 -0.0166667 5.90467e-07
-1.0625 0.0166667 2.31146e-07
-1.0625 0.05 8.86263e-08
-1.0625 0.0833333 3.33059e-08
-1.0625 0.116667 1.22746e-08
-1.0625 0.15 4.4388e-09
-1.0625 0.183333 1.57663e-09
-1.0625 0.216667 5.50405e-10
-1.0625 0.25 1.88747e-10
-1.0625 0.283333 6.3896e-11
-1.0625 0.316667 2.16321e-11
-1.0625 0.35 7.48641e-12
-1.0625 0.383333 3.19521e-12
-1.0625 0.416667 2.34284e-12
-1.0625 0.45 1.90119e-12
-1.0625 0.483333 1.82217e-12
-1.0625 0.516667 2.2522e-12
-1.0625 0.55 4.17908e-12
-1.0625 0.583333 1.1074e-11
-1.0625 0.616667 3.39035e-11
-1.0625 0.65 1.05694e-10
-1.0625 0.683333 3.21743e-10
-1.0625 0.716667 9.45549e-10
-1.0625 0.75 2.67531e-09
-1.0625 0.783333 7.28397e-09
-1.0625 0.816667 1.90854e-08
-1.0625 0.85 4.81337e-08
-1.0625 0.883333 1.1686e-07
-1.0625 0.916667 2.73122e-07
-1.0625 0.95 6.14436e-07
-1.0625 0.983333 1.3302e-06
-1.0625 1.01667 2.77011e-06
-1.0625 1.05 5.54571e-06
-1.0625 1.08333 1.06646e-05
-1.0625 1.11667 1.96784e-05
-1.0375 -1.11667 2.49673e-07
-1.0375 -1.08333 5.83465e-07
-1.0375 -1.05 1.31246e-06
-1.0375 -1.01667 2.84106e-06
