NumXCells: 80
NumYCells: 60
NumGhostCells: 4
Time: 1.14375
CFL: 0.3
-1.0875 -1.11667 0.210058
-1.0875 -1.08333 0.319415
-1.0875 -1.05 0.442285
-1.0875 -1.01667 0.537565
-1.0875 -0.983333 0.585486
-1.0875 -0.95 0.604068
-1.0875 -0.916667 0.609485
-1.0875 -0.883333 0.610135
-1.0875 -0.85 0.609347
-1.0875 -0.816667 0.605854
-1.0875 -0.783333 0.596823
-1.0875 -0.75 0.57826
-1.0875 -0.716667 0.544852
-1.0875 -0.683333 0.490279
-1.0875 -0.65 0.408637
-1.0875 -0.616667 0.298734
-1.0875 -0.583333 0.176736
-1.0875 -0.55 0.0835657
-1.0875 -0.516667 0.0356126
-1.0875 -0.483333 0.0146266
-1.0875 -0.45 0.00583544
-1.0875 -0.416667 0.00226475
-1.0875 -0.383333 0.000856022
-1.0875 -0.35 0.000315446
-1.0875 -0.316667 0.000113438
-1.0875 -0.283333 3.98441e-05
-1.0875 -0.25 1.36803e-05
-1.0875 -0.216667 4.59482e-06
-1.0875 -0.183333 1.51071e-06
-1.0875 -0.15 4.86529e-07
-1.0875 -0.116667 1.53566e-07
-1.0875 -0.0833333 4.75289e-08
-1.0875 -0.05 1.4433e-08
-1.0875 -0.0166667 4.30518e-09
-1.0875 0.0166667 1.2594e-09
-1.0875 0.05 3.53001e-10
-1.0875 0.0833333 9.19334e-11
-1.0875 0.116667 3.54555e-11
-1.0875 0.15 3.93489e-11
-1.0875 0.183333 1.14135e-10
-1.0875 0.216667 5.23736e-10
-1.0875 0.25 2.39822e-09
-1.0875 0.283333 1.02953e-08
-1.0875 0.316667 4.14271e-08
-1.0875 0.35 1.56779e-07
-1.0875 0.383333 5.59555e-07
-1.0875 0.416667 1.88766e-06
-1.0875 0.45 6.03026e-06
-1.0875 0.483333 1.82705e-05
-1.0875 0.516667 5.25671e-05
-1.0875 0.55 0.000143765
-1.0875 0.583333 0.000374012
-1.0875 0.616667 0.000926016
-1.0875 0.65 0.00218245
-1.0875 0.683333 0.00489588
-1.0875 0.716667 0.01045
-1.0875 0.75 0.0212072
-1.0875 0.783333 0.0408715
-1.0875 0.816667 0.074677
-1.0875 0.85 0.129037
-1.0875 0.883333 0.210058
-1.0875 0.916667 0.319415
-1.0875 0.95 0.442285
-1.0875 0.983333 0.537565
-1.0875 1.01667 0.585486
-1.0875 1.05 0.604068
-1.0875 1.08333 0.609485
-1.0875 1.11667 0.610135
-1.0625 -1.11667 0.268168
-1.0625 -1.08333 0.407772
-1.0625 -1.05 0.564655
-1.0625 -1.01667 0.68635
-1.0625 -0.983333 0.747566
-1.0625 -0.95 0.771302
-1.0625 -0.916667 0.778221
-1.0625 -0.883333 0.779052
-1.0625 -0.85 0.778045
-1.0625 -0.816667 0.773585
-1.0625 -0.783333 0.762054
-1.0625 -0.75 0.738353
-1.0625 -0.716667 0.695703
-1.0625 -0.683333 0.626034
-1.0625 -0.65 0.521814
-1.0625 -0.616667 0.381514
-1.0625 -0.583333 0.225744
-1.0625 -0.55 0.106743
-1.0625 -0.516667 0.0454865
-1.0625 -0.483333 0.0186802
-1.0625 -0.45 0.007452
-1.0625 -0.416667 0.00289187
-1.0625 -0.383333 0.00109295
-1.0625 -0.35 0.000402714
-1.0625 -0.316667 0.000144805
-1.0625 -0.283333 5.08563e-05
-1.0625 -0.25 1.74593e-05
-1.0625 -0.216667 5.86342e-06
-1.0625 -0.183333 1.92758e-06
-1.0625 -0.15 6.20708e-07
-1.0625 -0.116667 1.95894e-07
-1.0625 -0.0833333 6.06216e-08
-1.0625 -0.05 1.84067e-08
-1.0625 -0.0166667 5.49026e-09
-1.0625 0.0166667 1.60616e-09
-1.0625 0.05 4.50057e-10
-1.0625 0.0833333 1.16896e-10
-1.0625 0.116667 4.48159e-11
-1.0625 0.15 4.98282e-11
-1.0625 0.183333 1.45579e-10
