NumXCells: 80
NumYCells: 60
NumGhostCells: 4
Time: 1.59375
CFL: 0.3
-1.0875 -1.11667 2.94468e-10
-1.0875 -1.08333 7.39168e-10
-1.0875 -1.05 1.7929e-09
-1.0875 -1.01667 4.19806e-09
-1.0875 -0.983333 9.48453e-09
-1.0875 -0.95 2.06682e-08
-1.0875 -0.916667 4.34239e-08
-1.0875 -0.883333 8.79161e-08
-1.0875 -0.85 1.71405e-07
-1.0875 -0.816667 3.2152e-07
-1.0875 -0.783333 5.79609e-07
-1.0875 -0.75 1.00274e-06
-1.0875 -0.716667 1.66185e-06
-1.0875 -0.683333 2.6323e-06
-1.0875 -0.65 3.96981e-06
-1.0875 -0.616667 5.64073e-06
-1.0875 -0.583333 7.32652e-06
-1.0875 -0.55 8.46026e-06
-1.0875 -0.516667 8.97147e-06
-1.0875 -0.483333 9.14748e-06
-1.0875 -0.45 9.18517e-06
-1.0875 -0.416667 9.18236e-06
-1.0875 -0.383333 9.14999e-06
-1.0875 -0.35 9.05099e-06
-1.0875 -0.316667 8.83474e-06
-1.0875 -0.283333 8.43818e-06
-1.0875 -0.25 7.78902e-06
-1.0875 -0.216667 6.81559e-06
-1.0875 -0.183333 5.4725e-06
-1.0875 -0.15 3.81399e-06
-1.0875 -0.116667 2.16608e-06
-1.0875 -0.0833333 1.03118e-06
-1.0875 -0.05 4.57586e-07
-1.0875 -0.0166667 1.9742e-07
-1.0875 0.0166667 8.32338e-08
-1.0875 0.05 3.43267e-08
-1.0875 0.0833333 1.3859e-08
-1.0875 0.116667 5.48165e-09
-1.0875 0.15 2.12542e-09
-1.0875 0.183333 8.08336e-10
-1.0875 0.216667 3.01418e-10
-1.0875 0.25 1.11095e-10
-1.0875 0.283333 4.06607e-11
-1.0875 0.316667 1.44912e-11
-1.0875 0.35 5.53464e-12
-1.0875 0.383333 2.70373e-12
-1.0875 0.416667 1.93956e-12
-1.0875 0.45 1.39948e-12
-1.0875 0.483333 1.02372e-12
-1.0875 0.516667 7.72901e-13
-1.0875 0.55 6.25453e-13
-1.0875 0.583333 5.74343e-13
-1.0875 0.616667 6.27249e-13
-1.0875 0.65 8.32539e-13
-1.0875 0.683333 1.34469e-12
-1.0875 0.716667 2.64276e-12
-1.0875 0.75 6.1739e-12
-1.0875 0.783333 1.59861e-11
-1.0875 0.816667 4.27789e-11
-1.0875 0.85 1.13643e-10
-1.0875 0.883333 2.94468e-10
-1.0875 0.916667 7.39168e-10
-1.0875 0.95 1.7929e-09
-1.0875 0.983333 4.19806e-09
-1.0875 1.01667 9.48453e-09
-1.0875 1.05 2.06682e-08
-1.0875 1.08333 4.34239e-08
-1.0875 1.11667 8.79161e-08
-1.0625 -1.11667 6.98878e-10
-1.0625 -1.08333 1.75686e-09
-1.0625 -1.05 4.26353e-09
-1.0625 -1.01667 9.9844e-09
-1.0625 -0.983333 2.25572e-08
-1.0625 -0.95 4.91522e-08
-1.0625 -0.916667 1.0326e-07
-1.0625 -0.883333 2.09039e-07
-1.0625 -0.85 4.07507e-07
-1.0625 -0.816667 7.64316e-07
-1.0625 -0.783333 1.37769e-06
-1.0625 -0.75 2.38317e-06
-1.0625 -0.716667 3.94919e-06
-1.0625 -0.683333 6.25462e-06
-1.0625 -0.65 9.43154e-06
-1.0625 -0.616667 1.33996e-05
-1.0625 -0.583333 1.74017e-05
-1.0625 -0.55 2.00923e-05
-1.0625 -0.516667 2.13053e-05
-1.0625 -0.483333 2.17228e-05
-1.0625 -0.45 2.18121e-05
-1.0625 -0.416667 2.18054e-05
-1.0625 -0.383333 2.17284e-05
-1.0625 -0.35 2.1493e-05
-1.0625 -0.316667 2.09789e-05
-1.0625 -0.283333 2.00365e-05
-1.0625 -0.25 1.84941e-05
-1.0625 -0.216667 1.61816e-05
-1.0625 -0.183333 1.29914e-05
-1.0625 -0.15 9.05293e-06
-1.0625 -0.116667 5.14078e-06
-1.0625 -0.0833333 2.44724e-06
-1.0625 -0.05 1.08598e-06
-1.0625 -0.0166667 4.68546e-07
-1.0625 0.0166667 1.97548e-07
-1.0625 0.05 8.14726e-08
-1.0625 0.0833333 3.28932e-08
-1.0625 0.116667 1.30099e-08
-1.0625 0.15 5.04433e-09
-1.0625 0.183333 1.91833e-09
-1.0625 0.216667 7.15423e-10
-1.0625 0.25 2.62952e-10
-1.0625 0.283333 9.5256e-11
