NumXCells: 80
NumYCells: 60
NumGhostCells: 4
Time: 1.53125
CFL: 0.5
-1.0875 -1.11667 0.000836447
-1.0875 -1.08333 0.00119572
-1.0875 -1.05 0.00166525
-1.0875 -1.01667 0.00226164
-1.0875 -0.983333 0.00299836
-1.0875 -0.95 0.00388389
-1.0875 -0.916667 0.00492002
-1.0875 -0.883333 0.00610042
-1.0875 -0.85 0.00740976
-1.0875 -0.816667 0.00882345
-1.0875 -0.783333 0.0103081
-1.0875 -0.75 0.0118229
-1.0875 -0.716667 0.0133209
-1.0875 -0.683333 0.0147522
-1.0875 -0.65 0.0160658
-1.0875 -0.616667 0.0172128
-1.0875 -0.583333 0.0181494
-1.0875 -0.55 0.018839
-1.0875 -0.516667 0.0192546
-1.0875 -0.483333 0.0193806
-1.0875 -0.45 0.0192135
-1.0875 -0.416667 0.0187623
-1.0875 -0.383333 0.0180477
-1.0875 -0.35 0.0171009
-1.0875 -0.316667 0.0159616
-1.0875 -0.283333 0.0146752
-1.0875 -0.25 0.0132902
-1.0875 -0.216667 0.0118552
-1.0875 -0.183333 0.0104162
-1.0875 -0.15 0.00901417
-1.0875 -0.116667 0.00768343
-1.0875 -0.0833333 0.00645062
-1.0875 -0.05 0.00533425
-1.0875 -0.0166667 0.00434496
-1.0875 0.0166667 0.00348623
-1.0875 0.05 0.00275556
-1.0875 0.0833333 0.00214574
-1.0875 0.116667 0.00164623
-1.0875 0.15 0.00124448
-1.0875 0.183333 0.000927066
-1.0875 0.216667 0.00068062
-1.0875 0.25 0.000492513
-1.0875 0.283333 0.000351319
-1.0875 0.316667 0.000247068
-1.0875 0.35 0.000171334
-1.0875 0.383333 0.000117205
-1.0875 0.416667 7.91692e-05
-1.0875 0.45 5.29671e-05
-1.0875 0.483333 3.54395e-05
-1.0875 0.516667 2.44001e-05
-1.0875 0.55 1.85614e-05
-1.0875 0.583333 1.7532e-05
-1.0875 0.616667 2.19004e-05
-1.0875 0.65 3.34131e-05
-1.0875 0.683333 5.52376e-05
-1.0875 0.716667 9.229e-05
-1.0875 0.75 0.000151579
-1.0875 0.783333 0.0002425
-1.0875 0.816667 0.000376995
-1.0875 0.85 0.000569478
-1.0875 0.883333 0.000836447
-1.0875 0.916667 0.00119572
-1.0875 0.95 0.00166525
-1.0875 0.983333 0.00226164
-1.0875 1.01667 0.00299836
-1.0875 1.05 0.00388389
-1.0875 1.08333 0.00492002
-1.0875 1.11667 0.00610042
-1.0625 -1.11667 0.00114313
-1.0625 -1.08333 0.00163408
-1.0625 -1.05 0.00227569
-1.0625 -1.01667 0.00309064
-1.0625 -0.983333 0.00409731
-1.0625 -0.95 0.0053073
-1.0625 -0.916667 0.00672305
-1.0625 -0.883333 0.0083359
-1.0625 -0.85 0.0101249
-1.0625 -0.816667 0.0120564
-1.0625 -0.783333 0.0140849
-1.0625 -0.75 0.0161544
-1.0625 -0.716667 0.0182012
-1.0625 -0.683333 0.0201566
-1.0625 -0.65 0.0219512
-1.0625 -0.616667 0.0235183
-1.0625 -0.583333 0.0247978
-1.0625 -0.55 0.0257398
-1.0625 -0.516667 0.0263076
