NumXCells: 80
NumYCells: 60
NumGhostCells: 4
Time: 0.825
CFL: 0.3
-1.0875 -1.11667 0.973298
-1.0875 -1.08333 0.954328
-1.0875 -1.05 0.91579
-1.0875 -1.01667 0.845697
-1.0875 -0.983333 0.730053
-1.0875 -0.95 0.558886
-1.0875 -0.916667 0.34642
-1.0875 -0.883333 0.163998
-1.0875 -0.85 0.066854
-1.0875 -0.816667 0.0259736
-1.0875 -0.783333 0.00973455
-1.0875 -0.75 0.00352622
-1.0875 -0.716667 0.00123662
-1.0875 -0.683333 0.000420468
-1.0875 -0.65 0.000138795
-1.0875 -0.616667 4.4532e-05
-1.0875 -0.583333 1.39024e-05
-1.0875 -0.55 4.22716e-06
-1.0875 -0.516667 1.25295e-06
-1.0875 -0.483333 3.62323e-07
-1.0875 -0.45 1.02297e-07
-1.0875 -0.416667 2.8219e-08
-1.0875 -0.383333 7.61053e-09
-1.0875 -0.35 2.0081e-09
-1.0875 -0.316667 5.18607e-10
-1.0875 -0.283333 1.30652e-10
-1.0875 -0.25 3.21835e-11
-1.0875 -0.216667 7.74136e-12
-1.0875 -0.183333 2.14646e-12
-1.0875 -0.15 1.29595e-12
-1.0875 -0.116667 1.59482e-12
-1.0875 -0.0833333 8.71021e-12
-1.0875 -0.05 7.53868e-11
-1.0875 -0.0166667 5.76354e-10
-1.0875 0.0166667 3.82624e-09
-1.0875 0.05 2.23697e-08
-1.0875 0.0833333 1.16774e-07
-1.0875 0.116667 5.5023e-07
-1.0875 0.15 2.36033e-06
-1.0875 0.183333 9.28064e-06
-1.0875 0.216667 3.36295e-05
-1.0875 0.25 0.000112794
-1.0875 0.283333 0.000351377
-1.0875 0.316667 0.00101939
-1.0875 0.35 0.00275963
-1.0875 0.383333 0.00698056
-1.0875 0.416667 0.0165107
-1.0875 0.45 0.0365166
-1.0875 0.483333 0.0754643
-1.0875 0.516667 0.145466
-1.0875 0.55 0.260687
-1.0875 0.583333 0.431141
-1.0875 0.616667 0.642987
-1.0875 0.65 0.82673
-1.0875 0.683333 0.925853
-1.0875 0.716667 0.966632
-1.0875 0.75 0.980647
-1.0875 0.783333 0.983775
-1.0875 0.816667 0.983632
-1.0875 0.85 0.981237
-1.0875 0.883333 0.973298
-1.0875 0.916667 0.954328
-1.0875 0.95 0.91579
-1.0875 0.983333 0.845697
-1.0875 1.01667 0.730053
-1.0875 1.05 0.558886
-1.0875 1.08333 0.34642
-1.0875 1.11667 0.163998
-1.0625 -1.11667 0.962504
-1.0625 -1.08333 0.943744
-1.0625 -1.05 0.905632
-1.0625 -1.01667 0.836315
