NumXCells: 80
NumYCells: 60
NumGhostCells: 4
Time: 1.725
CFL: 0.3
-1.0875 -1.11667 6.50282e-13
-1.0875 -1.08333 1.03774e-12
-1.0875 -1.05 1.76996e-12
-1.0875 -1.01667 3.31483e-12
-1.0875 -0.983333 6.80511e-12
-1.0875 -0.95 1.48113e-11
-1.0875 -0.916667 3.28865e-11
-1.0875 -0.883333 7.25371e-11
-1.0875 -0.85 1.56653e-10
-1.0875 -0.816667 3.2889e-10
-1.0875 -0.783333 6.68903e-10
-1.0875 -0.75 1.31532e-09
-1.0875 -0.716667 2.4973e-09
-1.0875 -0.683333 4.57267e-09
-1.0875 -0.65 8.06464e-09
-1.0875 -0.616667 1.36801e-08
-1.0875 -0.583333 2.22809e-08
-1.0875 -0.55 3.47654e-08
-1.0875 -0.516667 5.17776e-08
-1.0875 -0.483333 7.28386e-08
-1.0875 -0.45 9.38943e-08
-1.0875 -0.416667 1.07913e-07
-1.0875 -0.383333 1.14174e-07
-1.0875 -0.35 1.16294e-07
-1.0875 -0.316667 1.16726e-07
-1.0875 -0.283333 1.16674e-07
-1.0875 -0.25 1.16218e-07
-1.0875 -0.216667 1.14871e-07
-1.0875 -0.183333 1.11981e-07
-1.0875 -0.15 1.06758e-07
-1.0875 -0.116667 9.8321e-08
-1.0875 -0.0833333 8.58267e-08
-1.0875 -0.05 6.8785e-08
-1.0875 -0.0166667 4.79525e-08
-1.0875 0.0166667 2.73806e-08
-1.0875 0.05 1.31683e-08
-1.0875 0.0833333 5.9106e-09
-1.0875 0.116667 2.58208e-09
-1.0875 0.15 1.10388e-09
-1.0875 0.183333 4.62233e-10
-1.0875 0.216667 1.89993e-10
-1.0875 0.25 7.64127e-11
-1.0875 0.283333 3.09357e-11
-1.0875 0.316667 1.21539e-11
-1.0875 0.35 4.93846e-12
-1.0875 0.383333 2.44089e-12
-1.0875 0.416667 1.76612e-12
-1.0875 0.45 1.2864e-12
-1.0875 0.483333 9.43572e-13
-1.0875 0.516667 6.95326e-13
