NumXCells: 80
NumYCells: 60
NumGhostCells: 4
Time: 0.95625
CFL: 0.3
-1.0875 -1.11667 0.987002
-1.0875 -1.08333 0.989831
-1.0875 -1.05 0.989486
-1.0875 -1.01667 0.986399
-1.0875 -0.983333 0.976881
-1.0875 -0.95 0.955203
-1.0875 -0.916667 0.913012
-1.0875 -0.883333 0.839234
-1.0875 -0.85 0.721633
-1.0875 -0.816667 0.552407
-1.0875 -0.783333 0.346137
-1.0875 -0.75 0.168175
-1.0875 -0.716667 0.0705877
-1.0875 -0.683333 0.0282644
-1.0875 -0.65 0.01095
-1.0875 -0.616667 0.00411196
-1.0875 -0.583333 0.00149887
-1.0875 -0.55 0.000531027
-1.0875 -0.516667 0.000183068
-1.0875 -0.483333 6.14765e-05
-1.0875 -0.45 2.01288e-05
-1.0875 -0.416667 6.43154e-06
-1.0875 -0.383333 2.007e-06
-1.0875 -0.35 6.12118e-07
-1.0875 -0.316667 1.82587e-07
-1.0875 -0.283333 5.32998e-08
-1.0875 -0.25 1.52353e-08
-1.0875 -0.216667 4.26618e-09
-1.0875 -0.183333 1.17095e-09
-1.0875 -0.15 3.15258e-10
-1.0875 -0.116667 8.23461e-11
-1.0875 -0.0833333 2.00395e-11
-1.0875 -0.05 6.54282e-12
-1.0875 -0.0166667 7.15487e-12
-1.0875 0.0166667 2.7164e-11
-1.0875 0.05 1.69456e-10
-1.0875 0.0833333 1.00728e-09
-1.0875 0.116667 5.4317e-09
-1.0875 0.15 2.67145e-08
-1.0875 0.183333 1.20689e-07
-1.0875 0.216667 5.03752e-07
-1.0875 0.25 1.95196e-06
-1.0875 0.283333 7.04907e-06
-1.0875 0.316667 2.38016e-05
-1.0875 0.35 7.53426e-05
-1.0875 0.383333 0.000224056
-1.0875 0.416667 0.000627007
-1.0875 0.45 0.00165318
-1.0875 0.483333 0.00411007
-1.0875 0.516667 0.00963874
-1.0875 0.55 0.0213205
-1.0875 0.583333 0.0444543
-1.0875 0.616667 0.0872635
-1.0875 0.65 0.160934
-1.0875 0.683333 0.277892
