NumXCells: 80
NumYCells: 60
NumGhostCells: 4
Time: 0.73125
CFL: 0.3
-1.0875 -1.11667 0.772818
-1.0875 -1.08333 0.677541
-1.0875 -1.05 0.530363
-1.0875 -1.01667 0.338189
-1.0875 -0.983333 0.162226
-1.0875 -0.95 0.065231
-1.0875 -0.916667 0.0248278
-1.0875 -0.883333 0.00908861
-1.0875 -0.85 0.00320672
-1.0875 -0.816667 0.00109258
-1.0875 -0.783333 0.000360077
-1.0875 -0.75 0.000114955
-1.0875 -0.716667 3.5598e-05
-1.0875 -0.683333 1.07053e-05
-1.0875 -0.65 3.12982e-06
-1.0875 -0.616667 8.90444e-07
-1.0875 -0.583333 2.46746e-07
-1.0875 -0.55 6.66508e-08
-1.0875 -0.516667 1.75634e-08
-1.0875 -0.483333 4.51829e-09
-1.0875 -0.45 1.13564e-09
-1.0875 -0.416667 2.79182e-10
-1.0875 -0.383333 6.71388e-11
-1.0875 -0.35 1.5651e-11
-1.0875 -0.316667 3.59373e-12
-1.0875 -0.283333 1.27766e-12
-1.0875 -0.25 7.1848e-13
-1.0875 -0.216667 3.99863e-13
-1.0875 -0.183333 3.82739e-13
-1.0875 -0.15 2.62115e-12
-1.0875 -0.116667 3.30543e-11
-1.0875 -0.0833333 3.34751e-10
-1.0875 -0.05 2.75039e-09
-1.0875 -0.0166667 1.90043e-08
-1.0875 0.0166667 1.13329e-07
-1.0875 0.05 5.94256e-07
-1.0875 0.0833333 2.77834e-06
-1.0875 0.116667 1.17048e-05
-1.0875 0.15 4.47988e-05
-1.0875 0.183333 0.000156768
-1.0875 0.216667 0.000504068
-1.0875 0.25 0.00149489
-1.0875 0.283333 0.00410042
-1.0875 0.316667 0.0104223
-1.0875 0.35 0.024572
-1.0875 0.383333 0.0537386
-1.0875 0.416667 0.108902
-1.0875 0.45 0.203955
-1.0875 0.483333 0.350755
-1.0875 0.516667 0.542345
-1.0875 0.55 0.718597
-1.0875 0.583333 0.817078
-1.0875 0.616667 0.858077
-1.0875 0.65 0.872792
-1.0875 0.683333 0.876601
-1.0875 0.716667 0.876798
-1.0875 0.75 0.875463
-1.0875 0.783333 0.870273
-1.0875 0.816667 0.856873
-1.0875 0.85 0.828015
-1.0875 0.883333 0.772818
-1.0875 0.916667 0.677541
-1.0875 0.95 0.530363
-1.0875 0.983333 0.338189
-1.0875 1.01667 0.162226
-1.0875 1.05 0.065231
-1.0875 1.08333 0.0248278
-1.0875 1.11667 0.00908861
-1.0625 -1.11667 0.691367
-1.0625 -1.08333 0.606137
-1.0625 -1.05 0.474483
-1.0625 -1.01667 0.302574
-1.0625 -0.983333 0.145146
-1.0625 -0.95 0.0583605
-1.0625 -0.916667 0.0222115
-1.0625 -0.883333 0.00813042
-1.0625 -0.85 0.00286847
-1.0625 -0.816667 0.000977267
-1.0625 -0.783333 0.000322052
-1.0625 -0.75 0.000102808
-1.0625 -0.716667 3.18341e-05
-1.0625 -0.683333 9.57267e-06
-1.0625 -0.65 2.79844e-06
-1.0625 -0.616667 7.96094e-07
-1.0625 -0.583333 2.2058e-07
-1.0625 -0.55 5.95771e-08
-1.0625 -0.516667 1.56975e-08
-1.0625 -0.483333 4.03762e-09
-1.0625 -0.45 1.01454e-09
-1.0625 -0.416667 2.49229e-10
-1.0625 -0.383333 5.9921e-11
-1.0625 -0.35 1.418e-11
-1.0625 -0.316667 3.26738e-12
-1.0625 -0.283333 1.18696e-12
-1.0625 -0.25 6.69362e-13
-1.0625 -0.216667 3.71669e-13
-1.0625 -0.183333 3.48893e-13
-1.0625 -0.15 2.45552e-12
-1.0625 -0.116667 2.97096e-11
-1.0625 -0.0833333 2.99873e-10
-1.0625 -0.05 2.46339e-09
-1.0625 -0.0166667 1.70193e-08
-1.0625 0.0166667 1.0148e-07
-1.0625 0.05 5.3207e-07
-1.0625 0.0833333 2.48734e-06
-1.0625 0.116667 1.04779e-05
-1.0625 0.15 4.00991e-05
-1.0625 0.183333 0.00014031
-1.0625 0.216667 0.000451114
-1.0625 0.25 0.00133775
-1.0625 0.283333 0.00366913
-1.0625 0.316667 0.00932542
-1.0625 0.35 0.0219848
-1.0625 0.383333 0.0480778
-1.0625 0.416667 0.097426
-1.0625 0.45 0.182455
-1.0625 0.483333 0.313771
-1.0625 0.516667 0.485158
-1.0625 0.55 0.642844
-1.0625 0.583333 0.730958
-1.0625 0.616667 0.767641
-1.0625 0.65 0.780805
-1.0625 0.683333 0.784213
-1.0625 0.716667 0.784389
-1.0625 0.75 0.783194
-1.0625 0.783333 0.77855
-1.0625 0.816667 0.766561
-1.0625 0.85 0.740745
-1.0625 0.883333 0.691367
-1.0625 0.916667 0.606137
-1.0625 0.95 0.474483
-1.0625 0.983333 0.302574
-1.0625 1.01667 0.145146
-1.0625 1.05 0.0583605
-1.0625 1.08333 0.0222115
-1.0625 1.11667 0.00813042
-1.0375 -1.11667 0.567801
-1.0375 -1.08333 0.497819
