NumXCells: 80
NumYCells: 60
NumGhostCells: 4
Time: 0.3
CFL: 0.3
-1.0875 -1.11667 9.53483e-14
-1.0875 -1.08333 4.64081e-14
-1.0875 -1.05 2.16871e-14
-1.0875 -1.01667 9.73167e-15
-1.0875 -0.983333 4.19533e-15
-1.0875 -0.95 1.73825e-15
-1.0875 -0.916667 6.92385e-16
-1.0875 -0.883333 2.65209e-16
-1.0875 -0.85 9.77184e-17
-1.0875 -0.816667 3.46497e-17
-1.0875 -0.783333 1.18303e-17
-1.0875 -0.75 3.89171e-18
-1.0875 -0.716667 1.23436e-18
-1.0875 -0.683333 3.77774e-19
-1.0875 -0.65 1.11647e-19
-1.0875 -0.616667 3.18889e-20
-1.0875 -0.583333 8.80946e-21
-1.0875 -0.55 2.35571e-21
-1.0875 -0.516667 6.10228e-22
-1.0875 -0.483333 1.53246e-22
-1.0875 -0.45 3.7336e-23
-1.0875 -0.416667 8.83122e-24
-1.0875 -0.383333 2.02938e-24
-1.0875 -0.35 4.53361e-25
-1.0875 -0.316667 9.85233e-26
-1.0875 -0.283333 2.08408e-26
-1.0875 -0.25 4.29435e-27
-1.0875 -0.216667 3.89926e-14
-1.0875 -0.183333 2.46819e-13
-1.0875 -0.15 8.17049e-13
-1.0875 -0.116667 4.11984e-12
-1.0875 -0.0833333 1.86355e-11
-1.0875 -0.05 6.90734e-11
-1.0875 -0.0166667 2.11448e-10
-1.0875 0.0166667 5.42796e-10
-1.0875 0.05 1.17258e-09
-1.0875 0.0833333 2.05554e-09
-1.0875 0.116667 2.71787e-09
-1.0875 0.15 2.97602e-09
-1.0875 0.183333 3.05892e-09
-1.0875 0.216667 3.08396e-09
-1.0875 0.25 3.09117e-09
-1.0875 0.283333 3.09272e-09
-1.0875 0.316667 3.09247e-09
-1.0875 0.35 3.08944e-09
-1.0875 0.383333 3.07508e-09
-1.0875 0.416667 3.02476e-09
-1.0875 0.45 2.88242e-09
-1.0875 0.483333 2.55089e-09
-1.0875 0.516667 1.92039e-09
-1.0875 0.55 1.03631e-09
-1.0875 0.583333 3.7434e-10
-1.0875 0.616667 1.17131e-10
-1.0875 0.65 3.4141e-11
-1.0875 0.683333 9.36217e-12
-1.0875 0.716667 2.6107e-12
-1.0875 0.75 1.12938e-12
-1.0875 0.783333 6.59179e-13
-1.0875 0.816667 3.58736e-13
-1.0875 0.85 1.88412e-13
-1.0875 0.883333 9.53483e-14
-1.0875 0.916667 4.64081e-14
-1.0875 0.95 2.16871e-14
-1.0875 0.983333 9.73167e-15
-1.0875 1.01667 4.19533e-15
-1.0875 1.05 1.73825e-15
-1.0875 1.08333 6.92385e-16
-1.0875 1.11667 2.65209e-16
-1.0625 -1.11667 4.64305e-14
-1.0625 -1.08333 2.22111e-14
-1.0625 -1.05 1.02139e-14
-1.0625 -1.01667 4.51574e-15
-1.0625 -0.983333 1.92016e-15
-1.0625 -0.95 7.85501e-16
-1.0625 -0.916667 3.0921e-16
-1.0625 -0.883333 1.17155e-16
-1.0625 -0.85 4.27368e-17
-1.0625 -0.816667 1.5016e-17
-1.0625 -0.783333 5.08434e-18
-1.0625 -0.75 1.65997e-18
-1.0625 -0.716667 5.22919e-19
-1.0625 -0.683333 1.59051e-19
-1.0625 -0.65 4.67438e-20
-1.0625 -0.616667 1.32835e-20
-1.0625 -0.583333 3.65279e-21
-1.0625 -0.55 9.727e-22
-1.0625 -0.516667 2.51009e-22
-1.0625 -0.483333 6.2815e-23
-1.0625 -0.45 1.52546e-23
-1.0625 -0.416667 3.59746e-24
-1.0625 -0.383333 8.24388e-25
-1.0625 -0.35 1.83688e-25
-1.0625 -0.316667 3.98209e-26
-1.0625 -0.283333 8.40384e-27
-1.0625 -0.25 1.72783e-27
-1.0625 -0.216667 1.69259e-14
-1.0625 -0.183333 1.08054e-13
-1.0625 -0.15 3.82981e-13
-1.0625 -0.116667 9.98047e-13
-1.0625 -0.0833333 3.81819e-12
-1.0625 -0.05 1.37118e-11
-1.0625 -0.0166667 4.17065e-11
-1.0625 0.0166667 1.06796e-10
-1.0625 0.05 2.30346e-10
-1.0625 0.0833333 4.032e-10
-1.0625 0.116667 5.32866e-10
-1.0625 0.15 5.83481e-10
-1.0625 0.183333 5.99718e-10
-1.0625 0.216667 6.04599e-10
-1.0625 0.25 6.05971e-10
-1.0625 0.283333 6.06265e-10
-1.0625 0.316667 6.0622e-10
-1.0625 0.35 6.05739e-10
-1.0625 0.383333 6.02956e-10
-1.0625 0.416667 5.93111e-10
-1.0625 0.45 5.65142e-10
-1.0625 0.483333 4.99913e-10
-1.0625 0.516667 3.75745e-10
-1.0625 0.55 2.01819e-10
-1.0625 0.583333 7.2578e-11
-1.0625 0.616667 2.26072e-11
-1.0625 0.65 6.6431e-12
-1.0625 0.683333 1.97474e-12
-1.0625 0.716667 1.02816e-12
-1.0625 0.75 6.06137e-13
-1.0625 0.783333 3.37815e-13
-1.0625 0.816667 1.80886e-13
-1.0625 0.85 9.33575e-14
-1.0625 0.883333 4.64305e-14
-1.0625 0.916667 2.22111e-14
-1.0625 0.95 1.02139e-14
-1.0625 0.983333 4.51574e-15
-1.0625 1.01667 1.92016e-15
-1.0625 1.05 7.85501e-16
-1.0625 1.08333 3.0921e-16
-1.0625 1.11667 1.17155e-16
-1.0375 -1.11667 2.18359e-14
-1.0375 -1.08333 1.02799e-14
-1.0375 -1.05 4.65687e-15
-1.0375 -1.01667 2.03029e-15
-1.0375 -0.983333 8.52107e-16
-1.0375 -0.95 3.44347e-16
-1.0375 -0.916667 1.34014e-16
-1.0375 -0.883333 5.02404e-17
-1.0375 -0.85 1.81483e-17
-1.0375 -0.816667 6.31925e-18
